Store,Today,Star Reviews,Date,Text,Address
全联福利中心Pxmart 大安黎元,2021-01-26,3,3 天前,太早 關門,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,3,1 週前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,4,3 週前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,3 週前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,1 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,4,1 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,1 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,1 個月前,很早就關門了，跟朋友戲稱「偷懶全聯」XDD,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,3,1 個月前,這裡的停車費....2.5h收200元...,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,1 個月前,"(由 Google 提供翻譯) 可

(原始評論)
可",10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,1 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,4,1 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,4,1 個月前,"(由 Google 提供翻譯) 大

(原始評論)
Great",10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,1 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,1 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,1 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,4,1 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,4,2 個月前,全聯是不錯的零售業,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,2 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,3,2 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,4,2 個月前,場地大，人少的賣場。果醬在收銀台旁，可能會讓客人找不到。,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,2 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,3,2 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,3 個月前,很方便因為離我家很近唯一傷心是快拆了,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,3 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,3 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,3,3 個月前,空間比較大,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,3,3 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,3 個月前,"(由 Google 提供翻譯) 這個地方有很多日常用品，也有WiFi連接。但是這個地方只從上午10點到晚上8點開放

(原始評論)
The place has so many kind of daily stuff and also has WiFi connection. But the place only open from 10am-8pm",10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,3 個月前,"去二殯與友者、親人送別;我就會到這個地方,買買東西、吃吃喝喝,順便停車…。

全聯在這兒是最大的超市;它提供了方便也開啟了財源…。",10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,4 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,4 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,4,4 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,4 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,4,4 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,4 個月前,據說是離台科大最近的全聯,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,4 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,4,4 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,4,4 個月前,鄰近第二殯儀館 還蠻大間的 購物還可停車,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,5 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,3,5 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,1,5 個月前,很不尊重顧客的店,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,5 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,3,5 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,5 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,4,5 個月前,"非常不錯~擺貨區寬敞, 櫃員態度親切",10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,4,6 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,3,6 個月前,"(由 Google 提供翻譯) 斜坡不友善

(原始評論)
斜坡不友善",10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,6 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,3,6 個月前,買一點東西，全聯店是很多，但商品種類的選擇性就沒有家樂福那麼多，偶爾應急買可以，真的要大採購，就比較不會選全聯，同樣商品比價，價格也比家樂福貴幾塊錢。,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,3,6 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,4,6 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,4,6 個月前,環境好,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,4,7 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,7 個月前,"(由 Google 提供翻譯) 商品很多

(原始評論)
商品很多",10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,4,7 個月前,面積大，逛起來起來舒服很多,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,8 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,3,8 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,4,9 個月前,空間大，單一樓層，生鮮食品量較不充足,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,3,10 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,4,10 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,4,10 個月前,購物方便,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,4,10 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,4,10 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,10 個月前,"(由 Google 提供翻譯) 很多物品

(原始評論)
很多物品",10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,3,10 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,3,10 個月前,蛋商品豐富，許多的選擇，很棒喔，人少少，可以隨意走動,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,4,10 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,4,11 個月前,空間很大燈光明亮，貨品多樣又充足，容易選購。,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,11 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,11 個月前,不趕時間  很悠閒 慢慢逛,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,3,11 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,4,11 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,4,11 個月前,品項比較齊全的全聯,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,4,11 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,5,11 個月前,,10668台北市大安區辛亥路三段223號
全联福利中心Pxmart 大安黎元,2021-01-26,3,1 年前,滿三百停車一小時…不過、地下停車場位子非常稀有，大概要等至少半小時？,10668台北市大安區辛亥路三段223號
