Store,Today,Star Reviews,Date,Text,Address
全联福利中心Pxmart 大直北安,2021-01-26,5 ,1 週前,,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,5 ,2 週前,,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,4 ,2 週前,"(由 Google 提供翻譯) 有Ubereats 很方便

(原始評論)
有Ubereats 很方便",11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,4 ,2 週前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,4 ,2 週前,,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,3 ,3 週前,,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,3 ,4 週前,,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,3 ,1 個月前,"(由 Google 提供翻譯) 小而精

(原始評論)
小而精",11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,5 ,1 個月前,,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,4 ,1 個月前,東西齊全，結帳要等很久，不太支援收銀,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,4 ,1 個月前,,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,4 ,1 個月前,乾淨明亮,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,4 ,1 個月前,店內乾淨貨品整齊，服務人員親切有禮。,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,3 ,1 個月前,,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,5 ,1 個月前,,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,1 ,1 個月前,,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,4 ,1 個月前,方便民眾採購,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,5 ,1 個月前,,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,1 ,1 個月前,今天到期的蛋糕沒有貼打折的貼紙.說是生鮮人員自行判斷的......所以要下午買.才有打折？,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,1 ,1 個月前,"今天去這家全聯買好幾種商品，結果結帳時最貴的商品多刷一次，價格高出許多反應後錢退回來，親友說大賣場買多樣商品時，有些不肖店員會趁機多刷一次商品，商品多發票長那些商品的字密密麻麻多數懶的對帳，不肖店員有機可趁，這行為應該算小偷。
多年前一則新聞，客人某商品忘結帳，賣場保全以順手牽羊為由，對顧客拙拙逼人精精計較，要是客人願返還商品，賣場保全態度還一樣，沒賠償商品價格 N倍，就送警公事公辦。
今天全聯在我結帳時商品多刷一次，反應後錢有退回，我沒計較是不是不肖店員，這是善意，未來還會有沒善意要看全聯的態度",11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,4 ,1 個月前,位子不錯離捷運站近周遭住家單純,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,5 ,1 個月前,,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,4 ,1 個月前,方便購物的好去處,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,3 ,2 個月前,全聯不就是這樣嗎？還蠻多有年紀的員工,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,5 ,2 個月前,服務人員態度親切 快速,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,5 ,2 個月前,,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,4 ,2 個月前,,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,4 ,2 個月前,動線不佳，產品太密集，可以改進地方太多,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,4 ,2 個月前,,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,5 ,2 個月前,,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,4 ,2 個月前,,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,5 ,2 個月前,,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,5 ,2 個月前,這位太太服務非常好 有耐心 👍,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,3 ,2 個月前,,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,5 ,2 個月前,趕快來集點哦～,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,5 ,2 個月前,結帳很快,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,3 ,3 個月前,,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,3 ,3 個月前,,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,4 ,3 個月前,,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,5 ,3 個月前,,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,4 ,3 個月前,,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,4 ,3 個月前,,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,5 ,4 個月前,,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,4 ,4 個月前,,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,5 ,4 個月前,好停車方便購買,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,2 ,4 個月前,,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,4 ,4 個月前,產品多元滿足需求,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,1 ,4 個月前,售價與德安店 經常不一樣 還有就是 有特價的商品 未標示 經常,11462台北市內湖區星雲街163號1樓
全联福利中心Pxmart 大直北安,2021-01-26,5 ,5 個月前,,11462台北市內湖區星雲街163號1樓
