Store,Today,Star Reviews,Date,Text,Address
全聯mini輕超市 信義信安店,2021-01-26,5 ,2 天前,,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,5 ,2 天前,,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,5 ,1 週前,,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,5 ,2 週前,,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,4 ,2 週前,,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,4 ,3 週前,品項多，方便。,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,5 ,3 週前,,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,4 ,3 週前,2020.12.30(首訪)地點有點偏僻，優點：顧客不多，結帳快。,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,4 ,3 週前,購物方便，算是小而美的全聯。,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,4 ,3 週前,,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,3 ,4 週前,"(由 Google 提供翻譯) 快速

(原始評論)
快速",10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,5 ,1 個月前,便利採買的好地方，品項多，店雖然不是很大，但是五臟俱全，還有洗手間、提款機，真是方便。,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,4 ,1 個月前,人非常少 不知道是不是 今天星期一的關係的原因吧！,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,3 ,1 個月前,,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,5 ,1 個月前,,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,4 ,1 個月前,,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,4 ,1 個月前,,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,5 ,1 個月前,全聯。你知道的。,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,4 ,2 個月前,,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,3 ,2 個月前,,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,4 ,2 個月前,很大很輕鬆的購物空間，不過還是免不了請支援收銀，讓人覺得漏氣，特惠品項變少開始超商化，令人傷腦筋,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,3 ,2 個月前,,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,5 ,2 個月前,,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,5 ,2 個月前,乾淨明亮很可以,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,4 ,2 個月前,,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,4 ,3 個月前,擺設整潔，上架物品易找，服務人員親切！,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,3 ,3 個月前,,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,4 ,3 個月前,,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,4 ,3 個月前,,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,5 ,3 個月前,鮮明賣場清潔快速結帳,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,4 ,3 個月前,場地簡潔,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,5 ,3 個月前,"(由 Google 提供翻譯) 超大....超好逛

(原始評論)
超大....超好逛",10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,1 ,4 個月前,服務態度尚需改進,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,4 ,4 個月前,,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,4 ,4 個月前,離家很近的全聯店，晚上散步可以順便去逛。,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,3 ,4 個月前,,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,3 ,4 個月前,,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,5 ,5 個月前,,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,5 ,5 個月前,,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,5 ,5 個月前,,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,4 ,5 個月前,和其他店相比，面積大、來客少，結帳較快,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,5 ,5 個月前,,10586台北市松山區健康路３９９號
全聯mini輕超市 信義信安店,2021-01-26,4 ,5 個月前,,10586台北市松山區健康路３９９號
