Store,Today,Star Reviews,Date,Text,Address
全聯實業股份有限公司,2021-01-26,5 ,1 小時前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,6 天前,東西比吉祥店充足補貨速度很快,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,6 天前,生鮮凍品很齊全,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,1 週前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,3 ,1 週前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,1 週前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,1 週前,在地下室 手機信號不好 有用電子支付不方便,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,1 週前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,2 週前,方便，物美價廉,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,2 週前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,1 ,2 週前,多元支付公能少有點可惜,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,2 週前,乾淨明亮，產品多元,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,3 週前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,3 週前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,3 週前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,3 週前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,3 週前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,3 週前,像逛大超市的感覺，貨物齊全，空間夠大沒有擁擠感，很享受購物的樂趣,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,1 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,1 個月前,貨品齊全 服務人員客氣,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,1 個月前,有買到想買的湯圓 而且庫存還很多,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,1 個月前,很大，東西很多但地下室空氣不佳,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,1 個月前,地點優，貨品齊，購物環境優異,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,1 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,2 ,1 個月前,"裝潢設備很好，但標價可以在老實點，
原價標清楚，讓消費者考慮是否要多買享折扣，
而不是標上打折後平均單價還放大，
搞得拿商品還得找有沒有小字註記原價。",105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,1 個月前,地下的場所寬闊購物很舒適。,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,1 ,1 個月前,這裡（三民健康）的蔬菜常常買回去就變爛了，上次還買到會發苦的櫛瓜。這裡的店員對狗狗極不友善，一位名字是謝X鈴的歐巴桑特別喜歡拿著雞毛當令箭警告抱著狗狗的顧客，建議愛狗人士還是去別家吧。養寵物的人都應該向全聯反應允許帶寵物進店，很多賣場都開放了，全聯應該體認到時代在變了。,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,1 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,1 個月前,貨源能滿足顧客需求，格局清楚，不會像迷宮轉來轉去，服務員、收銀員態度很好。,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,1 個月前,這裡應該是全聯超市5星級的設備了，乾淨明亮，貨物產品齊全，冷藏生鮮蔬果肉品有透明密封的開啟門，不亞於貴婦百貨的超市,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,3 ,1 個月前,空間變大，感覺好逛很多,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,1 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,1 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,1 個月前,環境乾淨明亮！,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,1 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,3 ,2 個月前,"第二次去這家!
詢問賣場服務人員有沒有洗手間?
直接回答“沒有”而以.
但是居然走出賣場外就有,這種人的訓練需檢討!",105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,3 ,2 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,2 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,2 個月前,便利，乾淨,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,2 個月前,店內空間相當明亮 物品種類相當多元、豐富,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,2 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,2 個月前,乾淨清爽整潔有序,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,2 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,2 個月前,燈光好氣氛佳,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,3 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,3 個月前,明亮乾淨,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,3 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,3 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,3 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,3 ,4 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,4 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,4 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,4 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,3 ,4 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,4 個月前,整天環境還不錯。逛起來也算舒服。冷藏的東西也保存的很好（別的分店是開放式的，這裡是透明冰箱式）很喜歡這樣子的存放。也有現烤的麵包可以購買。,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,5 個月前,人少，理髪購物快速，有廁所,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,5 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,5 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,5 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,5 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,5 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,5 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,3 ,5 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,5 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,6 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,6 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,6 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,6 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,2 ,6 個月前,不少物品，都没有標價，手機訊號不好。,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,6 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,2 ,6 個月前,收訊很差，不能用全聯app,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,6 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,6 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,6 個月前,"(由 Google 提供翻譯) 好

(原始評論)
Good",105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,6 個月前,空間規劃合理，逛起來很舒適,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,7 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,7 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,7 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,7 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,5 ,7 個月前,,105台北市松山區健康路243號B1
全聯實業股份有限公司,2021-01-26,4 ,7 個月前,好逛 好買 樣式多,105台北市松山區健康路243號B1
