Store,Today,Star Reviews,Date,Text,Address
全聯福利中心 內湖成功店,2021-01-26,5 ,6 天前,不錯的賣場,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,1 週前,"(由 Google 提供翻譯) 就像在這個地方購物一樣，因為有很多選擇

(原始評論)
Suka belanja ditempat ini , karena banyak pilihan",11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,2 週前,啊不錯 東西都有,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,3 週前,去外溝溪公園前補充野餐水份、小點心好去處,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,3 週前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,4 週前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,4 週前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,4 週前,方便的好鄰居,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,1 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,1 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,1 個月前,很方便!魚、牛肉、蔬菜、反正都有~,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,1 個月前,12/12晚上6點半造訪，服務很好的店,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,1 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,1 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,1 個月前,全聯樣！,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,1 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,1 個月前,明亮乾淨 物件明確,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,1 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,2 個月前,"(由 Google 提供翻譯) 很好非常好

(原始評論)
很好非常好",11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,2 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,2 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,2 個月前,"(由 Google 提供翻譯) 方便。

(原始評論)
方便。",11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,2 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,2 個月前,方便的好鄰居，家裡食物及日用品的另一個儲藏空間。,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,2 個月前,生鮮種類希望多一點,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,2 個月前,"(由 Google 提供翻譯) 停車方便

(原始評論)
convenient for parking",11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,2 個月前,下班經常經過，去超市買些食材料理。就在大湖公園捷運站附近很方便,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,2 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,3 ,2 個月前,結帳太慢了,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,2 個月前,東西多樣性，無需購大量，取決較自主性。,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,3 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,3 個月前,常常來這裡買東西，產品種類齊全應有盡有，只不過樓梯有些陡，老人家或孕婦最好搭電梯。,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,3 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,3 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,3 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,3 ,3 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,4 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,4 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,4 個月前,日常用品生鮮零食採買好去處,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,4 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,4 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,4 個月前,停車方便，店面較小。,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,4 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,4 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,4 個月前,購物方便，貨品齊全,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,5 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,5 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,5 個月前,在我家樓下,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,5 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,5 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,2 ,5 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,3 ,5 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,5 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,5 個月前,好購物的地方,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,5 個月前,有賣便當，比其他分店東西多，結帳要等很久,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,2 ,6 個月前,東西補貨速度慢,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,6 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,6 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,6 個月前,人潮頗多，有時候結帳會大排長龍，此外都不錯,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,6 個月前,商品齊全,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,6 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,3 ,6 個月前,不是特別大間，日常購物很方便。,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,3 ,6 個月前,沒有冰的碳酸飲料,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,7 個月前,"社區周遭唯一的超市, 方便且東西便宜, 常有促銷活動",11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,7 個月前,"😘最近來新面孔的女店員好漂亮.
問她生義大利麵在哪？
立刻帶我去那架擺各種義大利麵區 好厲害.
其他店員也很棒！
😠不過客人的素質有待加強...
結完帳的推車很多未歸回原位真的很差勁.",11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,7 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,7 個月前,"(由 Google 提供翻譯) 就附近很方便

(原始評論)
就附近很方便",11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,7 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,7 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,7 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,3 ,7 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,2 ,7 個月前,員工愛理不理服務熱誠和敬業精神比起家樂福就是差了那麼一大截，雖然常常有人說家樂福的工作環境和福利很血汗可是對於消費者來說奇檬子就是不爽，雖不敢奢求把消費者當大爺來伺候，但是花一樣的錢去家樂福消費給你的感受就是不同。,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,7 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,3 ,7 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,7 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,8 個月前,位置不錯,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,10 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,10 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,3 ,10 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,11 個月前,"方便、整齊、乾淨～不是非常大不過貨相對齊全，店員友善程度不好說😂（很不一定

It’s definitely a great place to find groceries (wide range of choices!!! It’s clean, convenient, and every goods are always in supply. Yet, service there is by luck, take a chance, friends!😂",11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,11 個月前,服務態度非常好。,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,11 個月前,"大湖買日常用品的好去處
也有生鮮可以買",11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,11 個月前,住這附近真的很難買東西，還好有這家，我很欣賞他們裡面的員工，說營業到22：30就真的到22：30才拉下鐵門，非常認真，而且結帳動作超迅速、問問題也有求必應，是一間很好的全聯。,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,11 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,11 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,11 個月前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,1 年前,大湖公園,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,3 ,1 年前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,3 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,3 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,3 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,3 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,1 年前,"店內整潔，停車方便，結帳滿門檻折停車費。
旁邊可以運動。",11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,3 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,3 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,1 年前,"(由 Google 提供翻譯) 比超商便宜

(原始評論)
比超商便宜",11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,1 年前,超好買,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,3 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,1 年前,商品很豐富，結帳快速服務好,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,1 年前,有地下室好下貨,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,1 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,1 年前,有生鮮超市，物廉價美。,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,5 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,1 年前,,11456台北市內湖區大湖山莊街148號
全聯福利中心 內湖成功店,2021-01-26,4 ,1 年前,方便產品齊全的社區賣場。,11456台北市內湖區大湖山莊街148號
