Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 三重,2021-01-26,5 ,3 天前,很方便就在忠孝橋附近，西門過來下橋很近，樓下還有市場,"光明市場, 2樓, No. ７０號重安街三重區新北市24143"
全聯福利中心Pxmart 三重,2021-01-26,1 ,4 天前,"價錢標示不實
結帳才知道價格不同
告知店員居然不知道牌子沒更換
雖然差一塊
就覺得被詐騙
還不是第一次遇到
是希望我直接在現場一直說嗎
感覺反應評論全聯主管也不會有任何處理","光明市場, 2樓, No. ７０號重安街三重區新北市24143"
全聯福利中心Pxmart 三重,2021-01-26,3 ,1 週前,,"光明市場, 2樓, No. ７０號重安街三重區新北市24143"
全聯福利中心Pxmart 三重,2021-01-26,5 ,1 週前,,"光明市場, 2樓, No. ７０號重安街三重區新北市24143"
全聯福利中心Pxmart 三重,2021-01-26,5 ,1 週前,這裡的全聯物品豐富，佔地面積很大，再晚也有營業，尤其是購買豆漿及牛奶物品充足！店員態度非常好。,"光明市場, 2樓, No. ７０號重安街三重區新北市24143"
全聯福利中心Pxmart 三重,2021-01-26,5 ,2 週前,,"光明市場, 2樓, No. ７０號重安街三重區新北市24143"
全聯福利中心Pxmart 三重,2021-01-26,4 ,2 週前,,"光明市場, 2樓, No. ７０號重安街三重區新北市24143"
全聯福利中心Pxmart 三重,2021-01-26,4 ,3 週前,,"光明市場, 2樓, No. ７０號重安街三重區新北市24143"
全聯福利中心Pxmart 三重,2021-01-26,5 ,3 週前,,"光明市場, 2樓, No. ７０號重安街三重區新北市24143"
全聯福利中心Pxmart 三重,2021-01-26,4 ,3 週前,,"光明市場, 2樓, No. ７０號重安街三重區新北市24143"
全聯福利中心Pxmart 三重,2021-01-26,5 ,3 週前,購買家庭用品很方便的地方!,"光明市場, 2樓, No. ７０號重安街三重區新北市24143"
全聯福利中心Pxmart 三重,2021-01-26,4 ,4 週前,,"光明市場, 2樓, No. ７０號重安街三重區新北市24143"
全聯福利中心Pxmart 三重,2021-01-26,5 ,1 個月前,來去買飲料喝🥂,"光明市場, 2樓, No. ７０號重安街三重區新北市24143"
全聯福利中心Pxmart 三重,2021-01-26,5 ,1 個月前,"(由 Google 提供翻譯) 大又好逛

(原始評論)
大又好逛","光明市場, 2樓, No. ７０號重安街三重區新北市24143"
