Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 中和中正,2021-01-26,3 ,2 天前,,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,4 ,4 天前,,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,4 ,6 天前,服務熱心,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,5 ,1 週前,😃😃😃,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,1 ,1 週前,櫃檯結帳人員隔著口罩都能感受到臭臉與不耐煩的氣息，就不多評論了 無奈..,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,1 ,1 週前,沒停車場，動線不太好，pxpay 超排。,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,5 ,1 週前,"(由 Google 提供翻譯) 好服務

(原始評論)
Good service",23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,5 ,1 週前,,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,5 ,2 週前,唯一的缺點是沒有停車場，裡面的服務人員很親切東西還滿多的！,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,3 ,2 週前,"大型的雜貨店,服務專業親切。",23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,5 ,2 週前,,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,5 ,2 週前,福利熊熊福利陪我度過一年的星期六歲月，卻沒有趕我走，真的很讚的地方,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,5 ,3 週前,貨物齊全，還有一些座位區,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,5 ,1 個月前,,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,4 ,1 個月前,,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,4 ,1 個月前,,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,5 ,1 個月前,產品種類多，好逛好買又便宜，真是方便的好鄰居,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,5 ,1 個月前,"全聯服務中心中和中正路上停車不便空間大生活用品
都有食物生鮮蔬果水果，服務人員態度
不友善對待客人。",23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,5 ,1 個月前,,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,1 ,1 個月前,買完東西帶小孩去結帳，女收銀員因為小孩叫她阿姨，跟小孩說好了好了不要再叫我阿姨了（帶點不耐煩的口氣制止）🙄️🙄️🙄️傻眼⋯⋯當下感覺很生氣，我不會再過去那家店消費了，因為結帳總讓我有不好的經驗，購物變得美中不足,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,4 ,1 個月前,,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,5 ,1 個月前,,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,4 ,1 個月前,,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,4 ,2 個月前,生鮮菜品都很新鮮，現做麵包當日出爐也都是當日售出，大部份服務人員態度良好，偶爾一個外籍員工不太進入狀況常常出錯😂😂😂,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,5 ,2 個月前,,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,1 ,2 個月前,"態度超差
換個東西有夠慢的
感覺很差",23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,5 ,2 個月前,,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,5 ,2 個月前,,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,3 ,2 個月前,,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,5 ,2 個月前,,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,4 ,2 個月前,,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,5 ,2 個月前,,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,5 ,2 個月前,"(由 Google 提供翻譯) 福利爽爽福利

(原始評論)
福利爽爽福利",23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,4 ,2 個月前,,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,4 ,2 個月前,,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,5 ,2 個月前,經常有特價活動,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,4 ,3 個月前,,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,3 ,3 個月前,日常生活用品這都有,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,3 ,3 個月前,"這間全聯的營業時間真的太猛了
幾乎跟便利商店一樣
很方便，要買的日用品、食材都有
太方便了
不夠有幾位年輕女服務員的態度就...
不方便說了",23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,5 ,3 個月前,交通方便，適合採買,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,5 ,3 個月前,最喜歡來這家全聯消費了！不輸給大賣場,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,5 ,3 個月前,,23562新北市中和區中正路80號號1樓
全聯福利中心Pxmart 中和中正,2021-01-26,4 ,3 個月前,,23562新北市中和區中正路80號號1樓
