Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 中和光華,2021-01-26,4 ,6 小時前,菜市場邊,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,1 ,2 週前,有三個結帳櫃檯，中間開放什麼pay給人插隊就算了，沒人有也不給其他人結帳，就讓後面大排長龍,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,4 ,2 週前,煥然一新,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,4 ,2 週前,"(由 Google 提供翻譯) 中型的超市

(原始評論)
中型的超市",23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,5 ,3 週前,,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,5 ,3 週前,,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,2 ,3 週前,區域購物方便性夠，但腹地小 巷弄中，連機車都難停。,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,5 ,1 個月前,,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,4 ,1 個月前,不錯会常耒東西斉全,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,5 ,1 個月前,,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,5 ,1 個月前,,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,3 ,1 個月前,,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,4 ,1 個月前,,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,3 ,1 個月前,東西價錢比其他大賣場貴又少，工作人員態度也不是很友善有些不耐煩。,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,5 ,1 個月前,,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,5 ,1 個月前,,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,5 ,1 個月前,,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,4 ,1 個月前,"店比較小
在菜市場旁邊",23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,5 ,1 個月前,"(由 Google 提供翻譯) 很好。

(原始評論)
很好。",23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,4 ,2 個月前,,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,4 ,2 個月前,擺設清楚，項目一目了然，可輕鬆購物,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,3 ,2 個月前,跟其他店比 這家普通,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,4 ,2 個月前,空間寬敞明亮，感覺不錯,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,3 ,2 個月前,,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,3 ,2 個月前,,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,5 ,2 個月前,,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,5 ,2 個月前,,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,4 ,2 個月前,,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,5 ,2 個月前,,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,1 ,2 個月前,,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,4 ,2 個月前,,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,3 ,2 個月前,好買,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,5 ,3 個月前,,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,4 ,3 個月前,,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,3 ,3 個月前,服務人員都很熱心的幫忙,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,2 ,3 個月前,是我去過的全聯中最小的，走道擁擠商品少，貨品常常缺貨，前陣子裝潢以為會變寬，結果除了收銀台換位子幾乎沒變...,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,4 ,3 個月前,逛的剛好的店,23558新北市中和區光華街31巷2號號1樓
全聯福利中心Pxmart 中和光華,2021-01-26,4 ,3 個月前,,23558新北市中和區光華街31巷2號號1樓
