Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 中和新生,2021-01-26,3 ,1 天前,"(由 Google 提供翻譯) 好啊

(原始評論)
Nice",23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,4 ,1 天前,,23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,3 ,2 天前,,23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,5 ,2 天前,還不錯，離市場近，有停車場,23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,5 ,2 天前,有附設停車場 汽車機車都方便停車,23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,5 ,3 天前,,23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,5 ,4 天前,空間大，還附停車場。店內擺設比一般全聯優。,23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,5 ,6 天前,,23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,4 ,1 週前,店面的外觀看起來好像在日本的購物中心，物美價廉很好逛，大推！,23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,4 ,1 週前,物品多樣,23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,5 ,1 週前,貨物齊全 店面整潔明亮！,23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,5 ,1 週前,,23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,4 ,1 週前,,23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,5 ,1 週前,,23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,1 ,1 週前,購物裝東西，購物得自己裝袋，還沒來的及拿店員提供的點數，店員隨手就丟到垃圾桶了！感覺很差勁！,23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,3 ,1 週前,,23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,4 ,1 週前,據說是第1000間分店，以旗艦店規格經營，所以裝潢特別的豪華,23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,5 ,1 週前,,23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,2 ,1 週前,,23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,3 ,1 週前,"開幕不到一年的新店，人手似乎一直都不太夠，常常收銀就只有一個人在顧，
看到有人排隊了，才再廣播要人支援，支援的大部分也都姍姍來遲。",23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,5 ,1 週前,"全聯福利中心中和新生店停車位有限賣場動線
良好店內有熟食提供及廁所",23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,3 ,2 週前,購物停車方便,23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,5 ,2 週前,,23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,5 ,2 週前,,23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,5 ,2 週前,讚,23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,5 ,2 週前,停車便利，購物空間良好寬敞。購物完後旁邊還有思夢樂可以閒逛,23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,3 ,2 週前,生意很好，好像反而有時會補貨不及，還有有些貨品沒有擺放到價錢牌，可以注意到並即時處理的話就更好…不過因為離家近所以還是會去😅,23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,4 ,2 週前,,23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,5 ,2 週前,,23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,4 ,2 週前,,23549新北市中和區新生街255、257號
全聯福利中心Pxmart 中和新生,2021-01-26,5 ,3 週前,新開的超市，格式規劃算清楚,23549新北市中和區新生街255、257號
