Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 中山中安,2021-01-26,4,2 天前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,1 週前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,1 週前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,2 週前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,2 週前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,3,2 週前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,2 週前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,2 週前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,3 週前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,3 週前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,3 週前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,3 週前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,3,3 週前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,3,4 週前,為處地下室 入口不是很方便 店內後半部的生活雜貨區及中間零食區 燈光非常昏暗 逛起來有點不舒服 相對購買慾望就變少 其餘大至上跟其它店沒什麼差別,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,4 週前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,2,4 週前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,4 週前,寬敞乾淨的店面，店員也很親切。,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,1,1 個月前,手扶梯超常壞掉的！不知道是大樓管委會的問題還是全聯的問題！反正幾乎一個月可以壞一次,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,1 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,1 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,3,1 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,1 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,1 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,1 個月前,位於巷弄內地下室，貨色齊全！,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,1 個月前,"場地很大,逛起來很舒適,服務人員親切,店經理也很熱心替我處理pxpay更換手機門號的問題.",10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,1 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,1 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,1 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,2 個月前,草莓的季節又到了,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,2 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,2 個月前,地點大 買完菜後有桌子可以整理 服務態度也蠻好的,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,3,2 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,2 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,2 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,2 個月前,還行,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,1,2 個月前,收銀員0150236是急什麼？每次遇到都這副德性！刷了就往旁邊丟丟丟，那我的東西欸！急屁啊！搞清楚狀況啊！最討厭結帳遇到這個人！,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,3,2 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,2 個月前,比便利商店更好的選擇，空間大，東西較便宜，還有app會員優惠唷！,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,2 個月前,地下室，蠻大間的,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,3 個月前,在地下有點隱密 但進去之後空間蠻大的,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,3 個月前,方便 寬敞 整齊,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,3 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,3 個月前,這家人比較少，使得賣場比較清幽好逛,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,3 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,3 個月前,有很多沖泡飲品的選項，逛起來很開心。 :D,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,3 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,3 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,3 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,4 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,4 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,4 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,3,4 個月前,"不錯啦 上班補乾糧的好地方
只不過地下室空氣有點不好
然後手扶梯有點陰暗",10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,3,4 個月前,寬敞,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,3,5 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,5 個月前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,3,5 個月前,"(由 Google 提供翻譯) 雪拼

(原始評論)
雪拼",10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,5 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,5 個月前,物美價廉,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,3,5 個月前,App 沒用，無訊號！,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,5 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,5 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,3,5 個月前,商品種類繁多，但補貨速度慢，貨價上空了好幾天，反應後也不會主動聯繫廠商先進貨。,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,5 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,5 個月前,場地中上 種類多,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,5 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,6 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,3,6 個月前,樓梯小,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,6 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,6 個月前,每隔一段時間才來一次，這次電梯修好了，以後可以常來了，謝謝!,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,6 個月前,還不錯,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,3,6 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,6 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,6 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,6 個月前,在這家店採買，人員服務態度很好，覺得很自在。,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,6 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,6 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,6 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,7 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,7 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,7 個月前,地方寬敞，逛起來是舒服的,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,7 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,7 個月前,"(由 Google 提供翻譯) 我以前在台北時在這裡購物。
畢竟海外的超級市場都很有趣！
由於是台灣，因此我們出售許多日本人熟悉的食品。

(原始評論)
台北滞在中はここで買い物していました。
やはり海外のスーパーって楽しいですね！
台湾なので日本人にも馴染みのある食品も結構売ってます",10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,7 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,7 個月前,😄,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,2,7 個月前,"(由 Google 提供翻譯) 油漆的味道

(原始評論)
油漆味好重",10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,7 個月前,,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,7 個月前,供貨充足樣式較多，生鮮較多元，飲料、食品不匱乏,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,7 個月前,"環境舒服 但建議動線可以調整
希望出口處也可以有推車回收處",10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,4,8 個月前,買日用品，一趟購齊,10446台北市中山區中山北路二段59巷45號B1
全聯福利中心Pxmart 中山中安,2021-01-26,5,8 個月前,,10446台北市中山區中山北路二段59巷45號B1
