Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 中山南京,2021-01-26,4 ,7 分鐘前,,10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,1 ,17 小時前,"必須說，跟這家店的店員買東西感覺真的很不好⋯
我們是顧客也是鄰居，不是找妳麻煩的人⋯
不尊重自己工作的人，我們來買東西一樣也感覺不被尊重⋯
來這買了兩年多的日用品，這半年來的消費體驗最糟⋯
你們真的可以去全聯的別家分店看看，他們收銀員一樣忙，但是對客人的態度就讓人感覺很溫馨，如果不想跑其他分店那麼遠的話，可以就近去全家便利商店的林森店，有個晚班跟妳們一樣的年輕店員，對於來購物的鄰居們是怎樣的熱心服務，自己去比較看看就知道。
反正妳們不會在乎少了一個客人，應該沒差啦！",10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,5 ,2 天前,,10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,1 ,6 天前,年紀大的阿姨店員態度超差,10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,4 ,1 週前,"(由 Google 提供翻譯) 生活便利的好所在

(原始評論)
生活便利的好所在",10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,5 ,1 週前,,10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,3 ,1 週前,"(由 Google 提供翻譯) 希望再加油

(原始評論)
希望再加油",10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,5 ,1 週前,,10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,5 ,1 週前,貨品齊全，場地又大好逛👍,10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,5 ,2 週前,,10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,5 ,2 週前,貨物充足～每次買足😂,10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,4 ,3 週前,,10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,5 ,3 週前,動線明亮，產品眾多,10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,5 ,3 週前,東西很多，怪咖也多。,10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,4 ,3 週前,這裡在巷子裡面，有好處；停車方便。唯一的是刷卡時不太方，因為有些銀行沒配合而有的卡就不能用。,10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,5 ,4 週前,,10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,4 ,1 個月前,,10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,4 ,1 個月前,東西樣式還是挺多的 有些比家樂福 大潤發還便宜,10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,5 ,1 個月前,,10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,5 ,1 個月前,,10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,4 ,1 個月前,,10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,5 ,1 個月前,,10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,5 ,1 個月前,,10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,4 ,1 個月前,最常購買食材的地方之一,10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,4 ,1 個月前,,10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,5 ,1 個月前,,10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,1 ,1 個月前,,10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,5 ,2 個月前,"(由 Google 提供翻譯) 哪裡可以買到各種日用品

(原始評論)
다양한 생필품을 구입할 수 있는 곳",10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,5 ,2 個月前,"(由 Google 提供翻譯) 克倫是最好的

(原始評論)
Kren is the best",10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,3 ,2 個月前,,10457台北市中山區吉林路26巷34號1樓
全聯福利中心Pxmart 中山南京,2021-01-26,5 ,2 個月前,,10457台北市中山區吉林路26巷34號1樓
