Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 中山建國北,2021-01-26,5 ,7 小時前,,10596台北市松山區民生東路三段130巷9號
全聯福利中心Pxmart 中山建國北,2021-01-26,5 ,1 週前,明亮、有禮,10596台北市松山區民生東路三段130巷9號
全聯福利中心Pxmart 中山建國北,2021-01-26,4 ,2 週前,在我到過全聯分店中唯一人少少，買東西找東西很方便，但品項稍少。,10596台北市松山區民生東路三段130巷9號
全聯福利中心Pxmart 中山建國北,2021-01-26,3 ,2 週前,有些貨去兩次都沒補貨如牛頭牌高雞湯，並且價格上與頂好超市差不多，所以價格上也沒有便宜多少,10596台北市松山區民生東路三段130巷9號
全聯福利中心Pxmart 中山建國北,2021-01-26,5 ,2 週前,,10596台北市松山區民生東路三段130巷9號
全聯福利中心Pxmart 中山建國北,2021-01-26,5 ,2 週前,環境不錯東西品項多員工服務態度也好,10596台北市松山區民生東路三段130巷9號
全聯福利中心Pxmart 中山建國北,2021-01-26,5 ,3 週前,只在一F，但算寬闊，動線算方便,10596台北市松山區民生東路三段130巷9號
全聯福利中心Pxmart 中山建國北,2021-01-26,4 ,4 週前,方便採買,10596台北市松山區民生東路三段130巷9號
全聯福利中心Pxmart 中山建國北,2021-01-26,3 ,1 個月前,同樣是全聯，只是不同家，同樣物品不同價，好奇怪喔！,10596台北市松山區民生東路三段130巷9號
全聯福利中心Pxmart 中山建國北,2021-01-26,4 ,1 個月前,,10596台北市松山區民生東路三段130巷9號
全聯福利中心Pxmart 中山建國北,2021-01-26,4 ,1 個月前,,10596台北市松山區民生東路三段130巷9號
全聯福利中心Pxmart 中山建國北,2021-01-26,5 ,1 個月前,,10596台北市松山區民生東路三段130巷9號
全聯福利中心Pxmart 中山建國北,2021-01-26,3 ,1 個月前,請支援收銀  購物袋太大了  裝滿可能提不回家  可以建議公司做再小一號嗎？  謝謝,10596台北市松山區民生東路三段130巷9號
全聯福利中心Pxmart 中山建國北,2021-01-26,5 ,1 個月前,,10596台北市松山區民生東路三段130巷9號
全聯福利中心Pxmart 中山建國北,2021-01-26,5 ,1 個月前,,10596台北市松山區民生東路三段130巷9號
全聯福利中心Pxmart 中山建國北,2021-01-26,3 ,1 個月前,,10596台北市松山區民生東路三段130巷9號
全聯福利中心Pxmart 中山建國北,2021-01-26,5 ,1 個月前,,10596台北市松山區民生東路三段130巷9號
全聯福利中心Pxmart 中山建國北,2021-01-26,4 ,1 個月前,,10596台北市松山區民生東路三段130巷9號
全聯福利中心Pxmart 中山建國北,2021-01-26,5 ,2 個月前,,10596台北市松山區民生東路三段130巷9號
全聯福利中心Pxmart 中山建國北,2021-01-26,5 ,2 個月前,,10596台北市松山區民生東路三段130巷9號
