Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 中山德惠店,2021-01-26,4 ,2 週前,,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,5 ,2 週前,,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,5 ,2 週前,,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,5 ,2 週前,,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,3 ,3 週前,停車方便,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,4 ,3 週前,規模較小，商品數量較少，但一般生活所需的採買也夠了，最大優點是地下室有很大的停車場，且全聯消費滿300可折抵30元停車費。,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,3 ,4 週前,,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,4 ,1 個月前,產品齊全，擺設整齊，環境乾淨，只是結帳人員似乎不夠專業,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,4 ,1 個月前,"(由 Google 提供翻譯) 好逛

(原始評論)
好逛",11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,5 ,1 個月前,產品不多，但該有的都有,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,4 ,1 個月前,,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,3 ,1 個月前,,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,4 ,1 個月前,,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,4 ,1 個月前,停車方便  是三總（內湖）附近的好鄰居,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,2 ,1 個月前,補貨太慢，經常遇到架上是空的,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,5 ,1 個月前,,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,1 ,1 個月前,水果類很差的供應，大公司騙消費者的無奈，比如香蕉原產地很便宜，全聯應該採購好的，但一袋子長期都用幾根綁在一起，東撿一支西撿一支，最爛的採購跟行銷，一班水果店一篡好美，全聯應該撿沒人要的包在一起，這樣成本低，又賣好價錢，全聯老闆該管理管理這樣的作風好嗎？感覺很失格低及得很，要不要我帶你去市場観摩一下,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,3 ,2 個月前,,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,5 ,2 個月前,,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,5 ,2 個月前,,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,5 ,2 個月前,靠近裕林車業就是方便,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,5 ,2 個月前,,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,5 ,2 個月前,方便，有停車場，消費滿300折抵一小時停車費,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,4 ,2 個月前,,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,2 ,2 個月前,交通不便 停車不便,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,5 ,2 個月前,,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,4 ,2 個月前,"(由 Google 提供翻譯) 方便停車的購物場所

(原始評論)
convenient shopping place for parking",11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,5 ,2 個月前,,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,1 ,2 個月前,,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,5 ,2 個月前,服務人員親切！,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,5 ,2 個月前,優質服務！,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,5 ,2 個月前,生活用品應有盡有，一應俱全,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,4 ,3 個月前,,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,5 ,3 個月前,,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,3 ,3 個月前,,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,4 ,3 個月前,,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,4 ,3 個月前,滿三百停車折30,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,5 ,3 個月前,,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,5 ,3 個月前,東西不少，蠻乾淨的，不過機車位不知道要停那,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,5 ,3 個月前,,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,5 ,3 個月前,有地下停車場，同時滿300有折抵30元停車費，環境乾淨。,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,2 ,3 個月前,結帳人員稀少，都要排很久,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,3 ,3 個月前,,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,5 ,3 個月前,"雖然商場面積不大但應有盡有
商品佈置的也算整齊明亮",11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,4 ,3 個月前,,11490台北市內湖區民權東路六段208號號1樓
全聯福利中心Pxmart 中山德惠店,2021-01-26,5 ,3 個月前,,11490台北市內湖區民權東路六段208號號1樓
