Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 中山晴光,2021-01-26,3 ,6 天前,,11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,3 ,1 週前,,11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,4 ,2 週前,,11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,3 ,2 週前,,11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,5 ,3 週前,,11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,3 ,1 個月前,,11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,5 ,1 個月前,社區超市,11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,4 ,1 個月前,,11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,5 ,1 個月前,,11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,5 ,2 個月前,,11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,5 ,2 個月前,,11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,5 ,2 個月前,,11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,4 ,2 個月前,,11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,4 ,2 個月前,沒廁所,11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,2 ,2 個月前,覺得每次都要花5分鐘排隊等結帳,11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,4 ,2 個月前,,11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,4 ,2 個月前,"停車還算方便，也有無障礙坡道
商品多樣，結帳櫃檯支援蠻快的",11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,1 ,2 個月前,,11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,3 ,2 個月前,買不到白菜,11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,5 ,2 個月前,,11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,5 ,2 個月前,服務人員親切,11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,5 ,2 個月前,購物方便，目前停機車也方便。,11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,5 ,3 個月前,,11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,5 ,3 個月前,就是一般全連,11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,4 ,3 個月前,,11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,4 ,3 個月前,,11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,5 ,3 個月前,,11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,4 ,3 個月前,,11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,5 ,3 個月前,,11455台北市內湖區金龍路215號1樓
全聯福利中心Pxmart 中山晴光,2021-01-26,5 ,4 個月前,,11455台北市內湖區金龍路215號1樓
