Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 中山興安,2021-01-26,4,1 週前,蠻好逛的，但是結帳出了錯，害我回到家又要出門回店裡更正，累累。,10481台北市中山區興安街55號
全聯福利中心Pxmart 中山興安,2021-01-26,2,1 週前,,10481台北市中山區興安街55號
全聯福利中心Pxmart 中山興安,2021-01-26,1,2 週前,"騙子全聯 跟Uber合作299折100
下單後被無故取消優惠券 單子又無法取消
打過去只能一味推託給uber",10481台北市中山區興安街55號
全聯福利中心Pxmart 中山興安,2021-01-26,4,3 週前,,10481台北市中山區興安街55號
全聯福利中心Pxmart 中山興安,2021-01-26,3,3 週前,,10481台北市中山區興安街55號
全聯福利中心Pxmart 中山興安,2021-01-26,3,4 週前,,10481台北市中山區興安街55號
全聯福利中心Pxmart 中山興安,2021-01-26,4,1 個月前,服務親切！,10481台北市中山區興安街55號
全聯福利中心Pxmart 中山興安,2021-01-26,5,1 個月前,全聯……,10481台北市中山區興安街55號
全聯福利中心Pxmart 中山興安,2021-01-26,4,1 個月前,,10481台北市中山區興安街55號
全聯福利中心Pxmart 中山興安,2021-01-26,1,1 個月前,地下室賣場的樓梯比較陡，對老人家比較不方便,10481台北市中山區興安街55號
全聯福利中心Pxmart 中山興安,2021-01-26,4,1 個月前,,10481台北市中山區興安街55號
全聯福利中心Pxmart 中山興安,2021-01-26,4,1 個月前,家庭採買的好去處.,10481台北市中山區興安街55號
全聯福利中心Pxmart 中山興安,2021-01-26,5,2 個月前,,10481台北市中山區興安街55號
全聯福利中心Pxmart 中山興安,2021-01-26,4,2 個月前,,10481台北市中山區興安街55號
全聯福利中心Pxmart 中山興安,2021-01-26,4,2 個月前,,10481台北市中山區興安街55號
全聯福利中心Pxmart 中山興安,2021-01-26,4,2 個月前,,10481台北市中山區興安街55號
全聯福利中心Pxmart 中山興安,2021-01-26,5,2 個月前,態度親切,10481台北市中山區興安街55號
全聯福利中心Pxmart 中山興安,2021-01-26,3,2 個月前,,10481台北市中山區興安街55號
全聯福利中心Pxmart 中山興安,2021-01-26,4,2 個月前,走道很大很寬闊，不會人擠人，商品也排放的很整齊！,10481台北市中山區興安街55號
全聯福利中心Pxmart 中山興安,2021-01-26,4,2 個月前,光線明亮，環境整齊乾凈，在市區內算方便,10481台北市中山區興安街55號
全聯福利中心Pxmart 中山興安,2021-01-26,4,2 個月前,2020.11.3(首訪)來附近午餐，路過順便購物。,10481台北市中山區興安街55號
全聯福利中心Pxmart 中山興安,2021-01-26,3,2 個月前,"(由 Google 提供翻譯) 好

(原始評論)
好",10481台北市中山區興安街55號
全聯福利中心Pxmart 中山興安,2021-01-26,5,2 個月前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",10481台北市中山區興安街55號
