Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 中山長春,2021-01-26,5 ,5 天前,,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,4 ,1 週前,,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,4 ,1 週前,,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,3 ,1 週前,"大部分店員都客客氣氣,應對得體，但一名頭髮斑白，衣衫襤褸蓬頭垢面，看起來老老的老伯伯除外。那個老男店員衣衫不整，態度又很差很沒禮貌，上次跟我媽一起來採買。那個老伯伯看起來比我媽還老，竟然還有臉叫我媽阿姨。也不想想他自己看起來有多蒼老！我媽怎麼樣都看起來比他年輕多了。且經過他身旁總是會聞到一股遊民老人味，而且他會大力甩丟籃子，多次入內消費都被他嚇到。希望該店家能對他加強職場教育。",10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,4 ,2 週前,,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,3 ,2 週前,,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,4 ,3 週前,,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,4 ,4 週前,"(由 Google 提供翻譯) 底樓有點擁擠且狹窄，很難用嬰兒車來操縱，B1樓稍微好一點。空間有限，這也反映在可用的選擇上，但足以購買您的日常必需品。

(原始評論)
Ground floor is a bit packed and narrow, hard to maneuver with a baby stroller, B1 floor is slightly better. Space is limited this reflect on available selections too but good enough to buy your daily necessities.",10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,4 ,4 週前,,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,4 ,1 個月前,,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,3 ,1 個月前,早班晚班的阿姨們都蠻親切的，唯獨晚班一位戴眼鏡的男店員態度不太好，對於他自己的同事態度也是如此，作為一位顧客都替他們感到難過，希望這位男店員可以改善,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,4 ,1 個月前,店面乾淨舒適，服務人員有禮貌。,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,1 ,1 個月前,大部分店員都還好，但是某男店員對顧客的態度極度不耐煩與無理，有加強訓練的必要,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,3 ,1 個月前,,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,3 ,1 個月前,,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,5 ,1 個月前,購物好去處,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,2 ,1 個月前,服務態度要加強,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,3 ,1 個月前,,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,5 ,1 個月前,方便、親切🤗,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,5 ,1 個月前,,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,4 ,1 個月前,,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,5 ,2 個月前,,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,5 ,2 個月前,方便購物。,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,1 ,2 個月前,很貴，水準卻不高。店員態度極差。,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,3 ,2 個月前,,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,4 ,2 個月前,,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,5 ,2 個月前,,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,5 ,2 個月前,,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,5 ,2 個月前,,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,5 ,2 個月前,,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,4 ,3 個月前,,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,5 ,3 個月前,,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,1 ,3 個月前,服務態度差，每次結帳都是擺一個臉色，好似欠你家錢一般。,10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,4 ,3 個月前,"全聯開始賣咖啡了☕️C/P值高。
但現在買咖啡會給QR code讓大家在機器掃。

不是之前買了就直接按機器了。應該是為了避免爭議吧。",10404台北市中山區北安路588巷8號
全聯福利中心Pxmart 中山長春,2021-01-26,5 ,3 個月前,,10404台北市中山區北安路588巷8號
