Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 中正南昌,2021-01-26,3 ,1 週前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,4 ,1 週前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,5 ,1 週前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,3 ,2 週前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,4 ,2 週前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,4 ,2 週前,服務太好 人山人海 等等等等,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,5 ,3 週前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,4 ,4 週前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,4 ,1 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,3 ,1 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,5 ,1 個月前,"(由 Google 提供翻譯) 這是以前的另一個日本超市品牌，因此在店內購物非常舒適，買家仍然可以從當前品牌聞名的價格中受益。推薦的。

(原始評論)
This was previously another Japanese brand of supermarket, so it's quite cosy to shop inside and buyers still can benefit the good pricing the current brand is famous for. Recommended.",10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,3 ,1 個月前,環境不是很優。,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,3 ,1 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,5 ,1 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,4 ,1 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,4 ,1 個月前,附近就有兩家全聯，相同的東西，價格還不一樣，還蠻有趣，可以挖寶的感覺。,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,3 ,1 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,4 ,2 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,5 ,2 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,4 ,2 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,4 ,3 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,5 ,3 個月前,"(由 Google 提供翻譯) 舒適的購物。 ...完整的主體... sipppp

(原始評論)
belanja nyaman. ...komplet pokokke...sipppp",10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,5 ,3 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,4 ,3 個月前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,5 ,3 個月前,"夏天冷氣够強、擺設中端、小而巧, 没有傳統全聯的擠、雜的感受。先前是松青店面, 有一定水平。",10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,5 ,3 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,3 ,3 個月前,架上閒置空太久,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,4 ,3 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,3 ,3 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,4 ,4 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,5 ,4 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,5 ,4 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,5 ,4 個月前,還不錯的購物點,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,4 ,4 個月前,"身爲有地緣關係的常客，到全聯就像自家的噪咖。大部份的日常用品都能找到。

晴光店不久前剛改造完，蔬果區擺設更加的直觀。動線比沒離幾步路的中山林森店也好很多。

請支援收銀～請支援收銀～請支援收銀～

到我結帳了。",10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,5 ,4 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,5 ,5 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,3 ,5 個月前,都說這裡較便宜，統一肉燥麵只有散包，日製方便湯包，紅冰糖包也找不到，好像家樂福品項較齊全,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,5 ,5 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,4 ,5 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,5 ,5 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,5 ,5 個月前,方便的好鄰居,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,5 ,6 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,5 ,6 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,4 ,6 個月前,環境好，食材新鮮,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,5 ,6 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,4 ,6 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,4 ,6 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,4 ,7 個月前,社區型的超市,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,5 ,7 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,5 ,7 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,3 ,7 個月前,"這家重新裝潢好的全聯，在空間上變大了，也看起來更乾淨舒服，不過就是在動線上有點不大順，在找東西時，雖然有明確告示牌，不過在硬體的格局方面稍微有點不大順，但整理上是乾淨舒服的。
那門口沒有提供酒精消毒及柔性勸導戴口罩，讓人覺得有點不大放心，畢竟中山區這一代很多外來客，希望這不要成為防疫的破口。
那在會員機制上，雖然有明確的告示版在櫃檯上方，但對於一個新客而言，還真看不大懂，本來要辦會員卡，不過覺得麻煩看不懂所以做罷了！希望下次有機會我看的懂的時候，可以順利成為全聯會員。 …",10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,1 ,7 個月前,"如果你到別間買完東西, 最好不要再到晴光店消費,因為最近新來的下午班結帳女店員會叫你把在袋子裡別家店買的東西跟消費明細讓她檢查, 把人當小偷, 叫她請店長出來調監視器又不敢？有這種店員我一顆星都不想給",10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,4 ,7 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,4 ,7 個月前,麵包好吃～,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,5 ,7 個月前,,10460台北市中山區林森北路575之1號
全聯福利中心Pxmart 中正南昌,2021-01-26,1 ,8 個月前,這個區域很多外來旅客，你們不該放任未帶口罩的人任意走進店裡消費，公告應在更明顯的位置，並請嚴格執行柔性勸導，請盡好社會責任不要成為防疫破口,10460台北市中山區林森北路575之1號
