Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 中正南海,2021-01-26,5 ,1 天前,,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,2 ,3 天前,雖然重新裝潢後感覺地方變大、東西變多，但標價依然不清，很多有特價的或買一送一商品皆未標示(1/22下午去)，老問題完全沒改善。,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,5 ,6 天前,"有一位年輕的服務小姐非常有禮貌,有時會在收銀台,對全聯的印象加分！
PS：林怡萱","號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,1 ,1 週前,10點58分服務人員擋在門口不讓人進入，誇張,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,5 ,1 週前,,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,4 ,1 週前,,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,4 ,2 週前,,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,4 ,2 週前,重新裝潢！購物環境乾淨！明亮～,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,5 ,3 週前,,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,1 ,3 週前,這位老兄可真忙，邊結帳還可以邊注意四週有沒有人沒戴口罩，遇到沒戴的消費者還會叫人家‘’ㄟ ！‘’非常不禮貌！屌不啷噹的態度惡劣至極,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,3 ,3 週前,"公告：
12/18已隆重開幕了，剛好有要買東西的可以去逛逛喔，我還是習慣來這裡買東西，不過整間物品擺放位置都有調整過，我要重新再熟悉了，感恩

這家全聯有地下室，服務人員都滿好的，結帳不會等太久，這家有六個收銀台，每家全聯營業時間不太一樣，這家是八點開門，晚上11點關店，也是全年無休（如果因為颱風或者過年營業時間，就不在此限）","號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,4 ,1 個月前,整修後新開幕，東西一掃而空，昨天去看貨架上很多都空的，補貨速度慢,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,5 ,1 個月前,11月店內改裝  l2月中重新營業,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,4 ,2 個月前,,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,3 ,2 個月前,,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,5 ,3 個月前,,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,5 ,3 個月前,東西好多可以選擇呦！,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,4 ,3 個月前,價格優勢，地點便利,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,5 ,3 個月前,,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,5 ,3 個月前,工作人員親切,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,3 ,3 個月前,可能是因為中秋烤肉活動，店內擺設有些雜亂，購滿東西空間狹窄，買個東西常常擋住其他人的通行，不能盡情選購，讓人感覺不想前往購買。,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,3 ,3 個月前,結帳比較快,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,3 ,3 個月前,就一般而言，是家全聯。,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,4 ,3 個月前,,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,5 ,3 個月前,店員比其他店客氣,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,5 ,3 個月前,,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,5 ,3 個月前,方便購物的好地方,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,5 ,3 個月前,經過順道而買，全聯門市多，很方便。,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,4 ,3 個月前,,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,5 ,3 個月前,,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,4 ,3 個月前,買優酪乳，總類較少，可能店比較小，一樓和地下室，所以每天都有進新貨...也是少量，不過相對新鮮！,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,3 ,3 個月前,對於我來說，是方便許多。,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,4 ,3 個月前,,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,5 ,4 個月前,,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,5 ,4 個月前,"(由 Google 提供翻譯) 好服務

(原始評論)
Pelayanannya bagus","號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,4 ,4 個月前,還不錯，買烤肉的用具應有盡有,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,3 ,4 個月前,,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,5 ,4 個月前,,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,5 ,4 個月前,買東西很方便 👍👍👍,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,3 ,4 個月前,,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,2 ,4 個月前,,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
全聯福利中心Pxmart 中正南海,2021-01-26,5 ,4 個月前,,"號地下1樓, 士林區社正路59.61.61-1號1褸及59台北市11164"
