Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 中正同安,2021-01-26,3,1 週前,有電梯，年長的人比較方便，但是空間比較小,10084台北市中正區南昌路二段112號B1
全聯福利中心Pxmart 中正同安,2021-01-26,5,1 週前,商品齊全。,10084台北市中正區南昌路二段112號B1
全聯福利中心Pxmart 中正同安,2021-01-26,4,1 週前,購物方便,10084台北市中正區南昌路二段112號B1
全聯福利中心Pxmart 中正同安,2021-01-26,4,2 週前,感覺很多東西想買，每天逛一逛，當家裏的儲藏室吧！,10084台北市中正區南昌路二段112號B1
全聯福利中心Pxmart 中正同安,2021-01-26,4,2 週前,"跟和平東路比比較小間
很多東西會沒有",10084台北市中正區南昌路二段112號B1
全聯福利中心Pxmart 中正同安,2021-01-26,5,2 週前,,10084台北市中正區南昌路二段112號B1
全聯福利中心Pxmart 中正同安,2021-01-26,4,2 週前,"(由 Google 提供翻譯) 乾淨清晰，有很多新鮮水果和蔬菜可供選擇。極力推薦！也許是附近地區最好的Pxmart商店之一。

(原始評論)
Clean is clear and has lots of selection of fresh fruits and vege. Highly recommend! Perhaps one of the best Pxmart  store in the nearby area.",10084台北市中正區南昌路二段112號B1
全聯福利中心Pxmart 中正同安,2021-01-26,3,2 週前,品項不夠齊全有些東西還要到和平東路全聯店才買得到.,10084台北市中正區南昌路二段112號B1
全聯福利中心Pxmart 中正同安,2021-01-26,5,3 週前,養氣人蔘、氣泡水、蕃茄汁都在這買 ！！,10084台北市中正區南昌路二段112號B1
全聯福利中心Pxmart 中正同安,2021-01-26,1,3 週前,"店員冷凍火鍋料補貨，開著門不知道去哪，摸了發現商品都退冰且包裝膨脹了
反正冷凍商品我是不敢買了",10084台北市中正區南昌路二段112號B1
全聯福利中心Pxmart 中正同安,2021-01-26,3,3 週前,,10084台北市中正區南昌路二段112號B1
全聯福利中心Pxmart 中正同安,2021-01-26,1,4 週前,一個禮拜來好幾次 每次都會積點數 上次唯有一次是一個胖胖戴眼鏡的收銀員 問了我電話之後 回去看手機App根本沒有幫我積點數,10084台北市中正區南昌路二段112號B1
全聯福利中心Pxmart 中正同安,2021-01-26,2,1 個月前,態度冷漠,10084台北市中正區南昌路二段112號B1
全聯福利中心Pxmart 中正同安,2021-01-26,5,1 個月前,該有都有，全聯一貫的優值水準,10084台北市中正區南昌路二段112號B1
全聯福利中心Pxmart 中正同安,2021-01-26,4,1 個月前,很大間可以買很多東西,10084台北市中正區南昌路二段112號B1
全聯福利中心Pxmart 中正同安,2021-01-26,5,1 個月前,,10084台北市中正區南昌路二段112號B1
全聯福利中心Pxmart 中正同安,2021-01-26,3,1 個月前,,10084台北市中正區南昌路二段112號B1
全聯福利中心Pxmart 中正同安,2021-01-26,4,1 個月前,位於地下室出入有箱型電梯還算理想…,10084台北市中正區南昌路二段112號B1
全聯福利中心Pxmart 中正同安,2021-01-26,4,1 個月前,,10084台北市中正區南昌路二段112號B1
全聯福利中心Pxmart 中正同安,2021-01-26,4,1 個月前,全聯有販售沐浴乳、洗衣精等生活用品，也有肉類和水果等食品，可以滿足日常所需，很方便！,10084台北市中正區南昌路二段112號B1
