Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 中正延平,2021-01-26,4 ,2 天前,全店在壹楼方便、服務週到。,10468台北市中山區松江路318號號1樓
全聯福利中心Pxmart 中正延平,2021-01-26,4 ,3 天前,商品種類齊全，購物方便，進捷運站,10468台北市中山區松江路318號號1樓
全聯福利中心Pxmart 中正延平,2021-01-26,3 ,5 天前,,10468台北市中山區松江路318號號1樓
全聯福利中心Pxmart 中正延平,2021-01-26,2 ,1 週前,整體擁擠。結帳客人、生鮮區補貨人員、生鮮區顧客經常重疊在一條動線上。,10468台北市中山區松江路318號號1樓
全聯福利中心Pxmart 中正延平,2021-01-26,5 ,1 週前,好逛，產品種類繁多，排列整齊清楚，價格合理...,10468台北市中山區松江路318號號1樓
全聯福利中心Pxmart 中正延平,2021-01-26,5 ,1 週前,,10468台北市中山區松江路318號號1樓
全聯福利中心Pxmart 中正延平,2021-01-26,4 ,1 週前,,10468台北市中山區松江路318號號1樓
全聯福利中心Pxmart 中正延平,2021-01-26,3 ,1 週前,,10468台北市中山區松江路318號號1樓
全聯福利中心Pxmart 中正延平,2021-01-26,3 ,2 週前,"(由 Google 提供翻譯) 超市兼超商

(原始評論)
超市兼超商",10468台北市中山區松江路318號號1樓
全聯福利中心Pxmart 中正延平,2021-01-26,3 ,2 週前,,10468台北市中山區松江路318號號1樓
全聯福利中心Pxmart 中正延平,2021-01-26,5 ,2 週前,,10468台北市中山區松江路318號號1樓
全聯福利中心Pxmart 中正延平,2021-01-26,5 ,3 週前,"常常逛附近的全聯, 雖然這家人潮最擁擠~但這家店員服務最好! 讚",10468台北市中山區松江路318號號1樓
全聯福利中心Pxmart 中正延平,2021-01-26,5 ,3 週前,"(由 Google 提供翻譯) 好

(原始評論)
Good",10468台北市中山區松江路318號號1樓
全聯福利中心Pxmart 中正延平,2021-01-26,2 ,3 週前,,10468台北市中山區松江路318號號1樓
全聯福利中心Pxmart 中正延平,2021-01-26,5 ,3 週前,,10468台北市中山區松江路318號號1樓
全聯福利中心Pxmart 中正延平,2021-01-26,1 ,3 週前,"因為結帳人潮眾多，想詢問有關點數問題;還沒有得到滿意答案時，被隔壁收銀人員阻止要求按鈴請求支援。
結果服務那位人員，卻跟同事已經確認處理完成;加上前往三重三和分公司請教相關問題，卻是完成沒人理會。
啊！算了，完全走鐘的企業就不要光臨就好。",10468台北市中山區松江路318號號1樓
全聯福利中心Pxmart 中正延平,2021-01-26,5 ,3 週前,,10468台北市中山區松江路318號號1樓
全聯福利中心Pxmart 中正延平,2021-01-26,4 ,3 週前,"(由 Google 提供翻譯) 車站附近如果您在前往Gyotengu的路上有點餓，可以在這裡買東西吃。到處走走比較容易，因為比便利店有更多的商品選擇，而且商店的內部也不是很大。一個銀行在附近並得到照顧的地方

(原始評論)
駅近く　行天宮に行く途中で少しお腹空いたらここで何か買って食べるのも良い。　コンビニよりかは品揃えあるし店内もそこまで広くないので回りやすいです。銀行も近くにあって割とお世話になった場所",10468台北市中山區松江路318號號1樓
全聯福利中心Pxmart 中正延平,2021-01-26,4 ,4 週前,"臨捷運行天宮站,便捷多了。",10468台北市中山區松江路318號號1樓
全聯福利中心Pxmart 中正延平,2021-01-26,4 ,1 個月前,,10468台北市中山區松江路318號號1樓
