Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,4,2 天前,,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,4,2 天前,,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,4,4 天前,,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,4,1 週前,地點很好,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,3,1 週前,有自助咖啡機，方便,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,3,2 週前,小的全聯～,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,5,3 週前,,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,4,4 週前,這一間的場地好像是比別家的要小了一些，但是貨品還算是齊全啦！,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,3,1 個月前,全聯百貨超市。,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,4,1 個月前,店雖小，東西全,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,4,1 個月前,,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,4,1 個月前,,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,5,1 個月前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,4,1 個月前,"(由 Google 提供翻譯) 便利性好

(原始評論)
便利性好",10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,5,1 個月前,,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,3,2 個月前,"這間店的賣場空間相較於其他分店略為狹小..
商品種類應有盡有選擇性繁多…大家的好鄰居",10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,3,2 個月前,,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,1,2 個月前,這家店沒有一個店員態度是好的,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,4,2 個月前,,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,3,2 個月前,"(由 Google 提供翻譯) 小而窄的

(原始評論)
small and narrow one",10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,5,2 個月前,,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,3,2 個月前,,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,4,2 個月前,,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,3,2 個月前,結帳都要等蠻久,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,4,2 個月前,,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,3,2 個月前,,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,3,2 個月前,品項跟別的分店比起來偏少,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,3,3 個月前,,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,3,3 個月前,,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,5,3 個月前,,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,4,3 個月前,,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,5,3 個月前,請支援收銀 ☆*:.｡. o(≧▽≦)o .｡.:*☆,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,5,3 個月前,"生活所需應有盡有
只差沒有全聯先生和
🐺大野狼精釀啤酒",10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,3,3 個月前,,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,4,3 個月前,,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,4,3 個月前,,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,5,3 個月前,,10078台北市中正區和平西路１段54號
全聯福利中心Pxmart 中正牯嶺店,2021-01-26,4,3 個月前,,10078台北市中正區和平西路１段54號
