Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 中正華山,2021-01-26,1,20 小時前,盧博偉結帳不講清楚；身上有啥沒啥連筆都沒有，搞什麼東西,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,5,22 小時前,商品很多樣，尤其零食類超多的,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,5,1 天前,,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,5,2 天前,"(由 Google 提供翻譯) 很方便

(原始評論)
很方便",10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,5,2 天前,,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,5,3 天前,,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,4,4 天前,,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,4,5 天前,,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,3,6 天前,堪稱市中交通便利貨物較齊全，上回結帳已經無法會員報電話號碼了，說是個資保護，那其它不實施的超商或者會員制都錯了嗎？,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,4,1 週前,店內擺放看起來較一般住宅區的全聯不同，比較像百貨超市，但空間稍小，顯得擁擠，適合少量採購,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,4,1 週前,動線合適 找東西很方便,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,5,1 週前,,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,5,1 週前,人滿多的。,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,4,1 週前,購物便利，好喔！,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,4,1 週前,品項豐富動線佳,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,4,1 週前,,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,4,1 週前,人員服務親切，有板急現做麵包，東西多,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,4,1 週前,,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,5,2 週前,店面算大間、商品很豐富～店員的態度也都很不錯，之前詢問pxpay使用方式，店員很熱心又認真的介紹，今日遇到插隊大媽，店員也是溫和的按照先來後到結帳，推！,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,4,2 週前,,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,5,2 週前,,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,3,2 週前,,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,5,2 週前,,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,2,2 週前,,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,5,3 週前,,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,3,3 週前,路過,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,4,3 週前,,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,4,3 週前,,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,5,3 週前,,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,5,3 週前,,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,5,4 週前,,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,5,4 週前,,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,5,4 週前,物美價廉。,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,5,1 個月前,,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,4,1 個月前,,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,5,1 個月前,,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,3,1 個月前,"(由 Google 提供翻譯) 好

(原始評論)
good",10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,4,1 個月前,,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,4,1 個月前,,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,3,1 個月前,"傍晚尖峰時間人太多了
要逛商品都要鑽來鑽去
結帳也會等一段時間",10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,4,1 個月前,,10050台北市中正區忠孝東路１段86號
全聯福利中心Pxmart 中正華山,2021-01-26,5,1 個月前,"(由 Google 提供翻譯) 我喜歡這家商店！它很大，並且提供各種各樣的產品。他們也傾向於從世界各地獲得越來越多的優質食品。我真的推薦它！

(原始評論)
I love this store! It’s big and offers a great variety of products. They tend to have more and more quality foods from around the world too. I really recommend it!",10050台北市中正區忠孝東路１段86號
