Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 中華,2021-01-26,5 ,22 小時前,店員很親切，賣的東西也有別一般全聯，比龍江路大全聯好多了。,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,5 ,1 天前,東西不貴好賣...,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,3 ,1 週前,,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,4 ,1 週前,店不大，商品算很齊全,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,4 ,2 週前,貨物品項眾多，只是場地有點狹隘,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,1 ,3 週前,,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,3 ,3 週前,,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,5 ,3 週前,辦公室周邊便利商店之外，最棒的日常生活用品及三餐的方簡便好選擇。,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,5 ,4 週前,方便居家好選擇,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,4 ,1 個月前,"評價：四顆半星
一、販售品項多，價格平實、付款方式多元、便捷。併購白木屋後製作販售的麵包，以價格、品質與份量而言也不差。
二、閃電泡芙：丹麥麵包外表加上脆皮巧克力，內餡包卡士達醬，巧克力微脆、麵包軟中稍帶點Q、卡士達醬滑嫩，口感多重。卡士達醬甜度適中，整體味道還不錯。卡士達醬份量稍微少了點，若能適量增加，口感、味道都會更好。",10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,2 ,1 個月前,對客人報錯價格，不夠老實！2020.12.25中午當班人員,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,4 ,1 個月前,,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,4 ,1 個月前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,5 ,1 個月前,來全聯買真的最划算，一條家庭號的吐司37元有找但大概我只能吃個三餐就沒了，所以真的要來全聯買最划算,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,4 ,1 個月前,"(由 Google 提供翻譯) 這個地方還好。商店很小，但是您可以在這裡購買大多數日常用品。

(原始評論)
This place is alright. The shop is quite small, but you can buy most of the everyday products here.",10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,5 ,1 個月前,,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,5 ,1 個月前,,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,4 ,1 個月前,方便的好鄰居，但是人多時結帳櫃台會忙不過來。,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,5 ,1 個月前,小而美，物品齊全,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,3 ,1 個月前,咖啡不知什麼原因暫停販售一個多月，廣告旗幟一直擺著的意思是⋯？,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,3 ,1 個月前,還好,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,4 ,1 個月前,不大，冷氣特別冷，就是夏天中午進去也起了一身疙瘩呀！,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,4 ,1 個月前,,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,2 ,1 個月前,太小間了，備貨不夠多。,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,5 ,1 個月前,,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,4 ,1 個月前,很小間  東西偏少,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,5 ,1 個月前,,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,5 ,1 個月前,親切,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,5 ,1 個月前,"店面比較小但東西也不少，該有都有方便
乾淨整潔沒什麼好挑剔的，給其他間全聯門市差不多，客人不多結帳不用等，聽不到到請『支援收銀』",10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,4 ,2 個月前,小而美，當然有時候你的所需會只剩一個又或者是缺貨，沒辦法，人家是mini啊！,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,4 ,2 個月前,,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,1 ,2 個月前,"員工教育訓練不足
換扣點商品
一問三不知…",10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,3 ,2 個月前,有點小,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,5 ,2 個月前,店內氣氛很好，店員很親切的回答問題，是下班後購物的好地方,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,5 ,2 個月前,,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,5 ,2 個月前,東西齊全！方便購買！非常便利,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,5 ,2 個月前,,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,5 ,2 個月前,,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,4 ,2 個月前,,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,5 ,2 個月前,,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,5 ,2 個月前,,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,4 ,2 個月前,精致多樣小而美的分店,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,5 ,2 個月前,"(由 Google 提供翻譯) 這裡是雜貨店購物的好地方，對國際會員也有好處，因為他們都有會說英語的人，可以為您提供購買幫助。

(原始評論)
A very good place for groceries shopping, good for international members as they have a person who knows english and can help you with the purchase.",10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,4 ,2 個月前,環境整潔，氣氛舒服，可惜礙於店面小，品項不齊全,10491台北市中山區建國北路１段48號
全聯福利中心Pxmart 中華,2021-01-26,3 ,2 個月前,,10491台北市中山區建國北路１段48號
