Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 信義信安,2021-01-26,4 ,6 天前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,3 ,6 天前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,2 ,3 週前,很擠,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,4 週前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,4 週前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,3 ,4 週前,"(由 Google 提供翻譯) 尼斯附近的雜貨店。它有很多您的基本食品，包括新鮮蔬菜和許多冷凍食品。商店也很乾淨。但是，他們仍然缺少一些基本必需品，例如紙碟和餐具。

(原始評論)
Nice neighborhood grocery store. It had a lot of your basic food stuffs, including fresh vegetables and lots of frozen goodies. The store was also very clean. However, they were still missing some basic essentials like paper plates and utensils.",11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,4 週前,"(由 Google 提供翻譯) 小型集市，可快速購買日常小物件和雜貨。沒有停車位。

(原始評論)
Small mart for quick buys of small every day items and groceries.  No place to park car.",11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,1 個月前,雖然迷你但是應該有的🤣,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,1 個月前,服務最好的貼心小全聯...店長人不錯,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,3 ,1 個月前,"(由 Google 提供翻譯) 格局很怪

(原始評論)
格局很怪",11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,4 ,2 個月前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,4 ,3 個月前,友善亁淨,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,3 個月前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,4 ,4 個月前,還OK啊！只是動線有點差而已。,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,3 ,5 個月前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,5 個月前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,4 ,5 個月前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,4 ,5 個月前,在這裏購物很方便唷！,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,4 ,6 個月前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,6 個月前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,6 個月前,比較小間 但店員服務100分,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,4 ,6 個月前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,6 個月前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,6 個月前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,6 個月前,這裡的全聯是少數有設停車場的店購物非常方便，一二樓店面非常寬廣，生鮮食品，蔬菜，水果已經比超市的東西更多了。,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,7 個月前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,7 個月前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,7 個月前,冷氣超級涼,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,4 ,8 個月前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,8 個月前,方便快速商品種類多,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,9 個月前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,9 個月前,掉了100塊沒發現，店家還特地調錄影帶找出是我的，並於隔天打電話給我，優良店家值得五星推薦。,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,11 個月前,"後面門只能進去不能出去,全聯pxpay app的地圖顯示此店的位置有誤",11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,11 個月前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,3 ,11 個月前,比較小間，東西選擇少,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,4 ,11 個月前,"(由 Google 提供翻譯) 很好

(原始評論)
很好",11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,1 年前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,1 年前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,4 ,1 年前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,4 ,1 年前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,1 年前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,1 年前,店面較其他全聯小，但一般該有的都有，很方便。,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,1 年前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,3 ,1 年前,"(由 Google 提供翻譯) 方便。員工還可以。網站很小。禁止停車。

(原始評論)
Convenient. Staff is OK. Site is small. No parking.",11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,1 年前,"(由 Google 提供翻譯) 很方便

(原始評論)
很方便",11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,3 ,1 年前,門的設計不太方便,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,1 ,1 年前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,3 ,1 年前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,4 ,1 年前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,1 年前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,4 ,1 年前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,1 年前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,4 ,1 年前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,1 年前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,1 ,1 年前,不愧是有廣告行消的公司，做生意的方式也與眾不同，在貴的商品前放上特別便宜的特價牌，讓消費者誤以為真而買下，然後櫃台購物又不打明細，等消費者發現有異，不是物品以食用了，就是賬單寄來才發現。當消費者上門找店員詢問時，店員才說這是另一個商品的價格...真不知有多少消費者因為這樣而被騙！,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,5 ,1 年前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,4 ,1 年前,,11054台北市信義區嘉興街245號247號1樓
全聯福利中心Pxmart 信義信安,2021-01-26,4 ,1 年前,小而美  商品齊全,11054台北市信義區嘉興街245號247號1樓
