Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 信義六合,2021-01-26,4,1 週前,,11046台北市信義區松仁路240巷19號
全聯福利中心Pxmart 信義六合,2021-01-26,5,2 週前,身為住在附近的居民，日常生活一定要來買的超市，幾乎每週都要來3～4次，服務很好，商場有兩層樓，商品也非常豐富多元,11046台北市信義區松仁路240巷19號
全聯福利中心Pxmart 信義六合,2021-01-26,5,2 週前,,11046台北市信義區松仁路240巷19號
全聯福利中心Pxmart 信義六合,2021-01-26,5,2 週前,,11046台北市信義區松仁路240巷19號
全聯福利中心Pxmart 信義六合,2021-01-26,5,3 週前,,11046台北市信義區松仁路240巷19號
全聯福利中心Pxmart 信義六合,2021-01-26,3,3 週前,,11046台北市信義區松仁路240巷19號
全聯福利中心Pxmart 信義六合,2021-01-26,4,3 週前,,11046台北市信義區松仁路240巷19號
全聯福利中心Pxmart 信義六合,2021-01-26,3,3 週前,,11046台北市信義區松仁路240巷19號
全聯福利中心Pxmart 信義六合,2021-01-26,5,1 個月前,,11046台北市信義區松仁路240巷19號
全聯福利中心Pxmart 信義六合,2021-01-26,5,1 個月前,店員親切，但常常「請支援收銀」,11046台北市信義區松仁路240巷19號
全聯福利中心Pxmart 信義六合,2021-01-26,5,1 個月前,,11046台北市信義區松仁路240巷19號
全聯福利中心Pxmart 信義六合,2021-01-26,4,1 個月前,,11046台北市信義區松仁路240巷19號
全聯福利中心Pxmart 信義六合,2021-01-26,4,1 個月前,"好逛好買，很方便，服務人員結帳素質也不錯。
別的分店有的貨品亂放、動線設置很差，尋找要買的東西很困難，而且全聯有的貨物不是每家分店都有，找很久才確定沒賣會很累。",11046台北市信義區松仁路240巷19號
全聯福利中心Pxmart 信義六合,2021-01-26,4,1 個月前,"發覺價格沒有競爭優勢了！最近比較價格是否人事成本或店租高,好幾項物品都比其它家貴！",11046台北市信義區松仁路240巷19號
全聯福利中心Pxmart 信義六合,2021-01-26,5,1 個月前,,11046台北市信義區松仁路240巷19號
全聯福利中心Pxmart 信義六合,2021-01-26,4,1 個月前,"場地明亮,動線很好,物品齊全！",11046台北市信義區松仁路240巷19號
全聯福利中心Pxmart 信義六合,2021-01-26,1,1 個月前,剛買完東西有加買一杯咖啡，誰知道在無人員告知下，在現場等機器清潔20分鐘左右，機器要清潔好，才有人跑過來說，賣場22：00後就不賣咖啡，給人白白等20分鐘左右，以後買咖啡要算好時間21：59買,11046台北市信義區松仁路240巷19號
全聯福利中心Pxmart 信義六合,2021-01-26,5,1 個月前,,11046台北市信義區松仁路240巷19號
全聯福利中心Pxmart 信義六合,2021-01-26,4,1 個月前,種類齊全,11046台北市信義區松仁路240巷19號
全聯福利中心Pxmart 信義六合,2021-01-26,5,1 個月前,,11046台北市信義區松仁路240巷19號
全聯福利中心Pxmart 信義六合,2021-01-26,4,1 個月前,,11046台北市信義區松仁路240巷19號
全聯福利中心Pxmart 信義六合,2021-01-26,5,1 個月前,,11046台北市信義區松仁路240巷19號
全聯福利中心Pxmart 信義六合,2021-01-26,5,1 個月前,明亮，寬敞，乾淨，便宜，好買的好地方！！,11046台北市信義區松仁路240巷19號
全聯福利中心Pxmart 信義六合,2021-01-26,5,1 個月前,東西很多，可以選擇，還有賣便當，但價格不便宜，謝謝,11046台北市信義區松仁路240巷19號
全聯福利中心Pxmart 信義六合,2021-01-26,4,1 個月前,,11046台北市信義區松仁路240巷19號
全聯福利中心Pxmart 信義六合,2021-01-26,4,2 個月前,,11046台北市信義區松仁路240巷19號
全聯福利中心Pxmart 信義六合,2021-01-26,5,2 個月前,,11046台北市信義區松仁路240巷19號
