Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 信義嘉興,2021-01-26,5,1 週前,,11052台北市信義區基隆路二段22號B1
全聯福利中心Pxmart 信義嘉興,2021-01-26,5,1 週前,"(由 Google 提供翻譯) 服務周到，東西方種類繁多。

(原始評論)
服務親切，東西種類多。",11052台北市信義區基隆路二段22號B1
全聯福利中心Pxmart 信義嘉興,2021-01-26,5,1 週前,,11052台北市信義區基隆路二段22號B1
全聯福利中心Pxmart 信義嘉興,2021-01-26,4,1 週前,"好特別哦，門口只看到一個小電梯，以為是通賣場的客梯，結果是貨梯。
搭貨梯到地下室買東西，然後尶尬的看著告示，大意是只限載貨，載人不負安全保證之類的。",11052台北市信義區基隆路二段22號B1
全聯福利中心Pxmart 信義嘉興,2021-01-26,3,1 週前,上星期一全聯告知補貨已到，去兌領時，收銀台工作人員僅結完當日本人採購的帳後，説因人手不足，要我改天再領補貨之商品；後來我只能尋求其他工作人員兌領該商品..想請全聯該收銀員不要把問題丟給消費者，您是全聯員工有解決問題的責任與義務....,11052台北市信義區基隆路二段22號B1
全聯福利中心Pxmart 信義嘉興,2021-01-26,4,2 週前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",11052台北市信義區基隆路二段22號B1
全聯福利中心Pxmart 信義嘉興,2021-01-26,4,2 週前,結帳迅速，生鮮品品質不錯,11052台北市信義區基隆路二段22號B1
全聯福利中心Pxmart 信義嘉興,2021-01-26,4,3 週前,,11052台北市信義區基隆路二段22號B1
全聯福利中心Pxmart 信義嘉興,2021-01-26,4,3 週前,,11052台北市信義區基隆路二段22號B1
全聯福利中心Pxmart 信義嘉興,2021-01-26,4,3 週前,,11052台北市信義區基隆路二段22號B1
全聯福利中心Pxmart 信義嘉興,2021-01-26,5,3 週前,,11052台北市信義區基隆路二段22號B1
全聯福利中心Pxmart 信義嘉興,2021-01-26,5,4 週前,,11052台北市信義區基隆路二段22號B1
全聯福利中心Pxmart 信義嘉興,2021-01-26,3,4 週前,"嘉興街是後門只進不出,有交通工具的顧客千萬別走此門,免得買了東西要從信安街前門出繞到後門去開車.
我不常到此門市,曾經就是那個傻蛋!",11052台北市信義區基隆路二段22號B1
全聯福利中心Pxmart 信義嘉興,2021-01-26,3,1 個月前,,11052台北市信義區基隆路二段22號B1
全聯福利中心Pxmart 信義嘉興,2021-01-26,4,1 個月前,,11052台北市信義區基隆路二段22號B1
全聯福利中心Pxmart 信義嘉興,2021-01-26,4,1 個月前,,11052台北市信義區基隆路二段22號B1
全聯福利中心Pxmart 信義嘉興,2021-01-26,4,1 個月前,,11052台北市信義區基隆路二段22號B1
全聯福利中心Pxmart 信義嘉興,2021-01-26,4,1 個月前,,11052台北市信義區基隆路二段22號B1
全聯福利中心Pxmart 信義嘉興,2021-01-26,5,1 個月前,方便購物又便宜,11052台北市信義區基隆路二段22號B1
全聯福利中心Pxmart 信義嘉興,2021-01-26,3,1 個月前,,11052台北市信義區基隆路二段22號B1
全聯福利中心Pxmart 信義嘉興,2021-01-26,4,1 個月前,甜點多樣，好吃便宜,11052台北市信義區基隆路二段22號B1
全聯福利中心Pxmart 信義嘉興,2021-01-26,2,2 個月前,,11052台北市信義區基隆路二段22號B1
全聯福利中心Pxmart 信義嘉興,2021-01-26,3,2 個月前,,11052台北市信義區基隆路二段22號B1
