Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 信義松興,2021-01-26,5,2 天前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,5,2 天前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,2,2 天前,在最內側結帳櫃身材略矮微胖的女性店員晚娘臉孔 結帳放菜隨意“丟”放不分物品能否重壓 如果沒記錯上次結帳金額錯誤的也是她 這麼長的一段時間 服務態度依然沒改善 可就店內管理鬆散 實在應該好好整頓,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,4,6 天前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,5,1 週前,"(由 Google 提供翻譯) 很便民

(原始評論)
很便民",11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,4,1 週前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,5,2 週前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,3,2 週前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,3,2 週前,"自從家樂福東興店結束營業了，附近只有這一家連鎖超市，購物人潮隨時都很多。下午四點左右，會有肉類海鮮生鮮蛋糕甜點六折；中午過後會有當天空廚便當特惠；晚上八點多不定期會有茶葉蛋、麵線肉圓等小吃六折；精打細算者可好好把握這幾個時段，買到真的省很大。

建議特價品不要一次買太多，一方面已經是即期品了；另一方面留一些給其他需要精打細算的人購買。",11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,5,3 週前,全聯福利中心熊福利,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,2,3 週前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,4,3 週前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,1,3 週前,12/30 21:30左右短頭髮櫃檯服務人員態度差勁，結帳時已告知保鮮膜包裝的雞肉因為黏黏的所以使用一次袋裝，結帳人員說保鮮膜本來就黏黏的，我說不是保鮮膜，是雞肉的生水滲出來，結帳人員說那你自己要帶袋子來裝呀，邊說邊把我的袋子丟掉，寧願丟掉顧客已經使用的袋子也不願告知客人下不為例。很棒的服務態度。,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,4,3 週前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,3,3 週前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,5,4 週前,請支援收銀~,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,4,1 個月前,東西種類多，這間【松隆路】有電梯，方便上下2層樓間。,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,1,1 個月前,結帳時順便跟櫃台人員確認櫃旁的口罩價格，卻得到一句：「你不會自己看啊！」 很兇欸...欸你不是我媽欸  到底兇屁？！ 拜託我也知道上面有價錢 我只是想確認問一下 ..... 結果被罵了一句 .....  不好意思 大姐妳可能今天累了或心情不好..... 但我整個消費結帳感受真的差到爆 .... 我不是奧客 希望店家可以檢討一下....,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,5,1 個月前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,3,1 個月前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,5,1 個月前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,1,1 個月前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,4,1 個月前,有百貨超市的感覺。,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,5,1 個月前,生鮮食材新鮮 比很多大賣場好太多了,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,4,1 個月前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,5,1 個月前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,5,1 個月前,購物可順便理髮,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,4,1 個月前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,5,1 個月前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,4,1 個月前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,2,1 個月前,"(由 Google 提供翻譯) 商店很近，方便我購物……

(原始評論)
Toko sangat dekat dan mudah untuk saya belanja sesuatu......",11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,5,1 個月前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,4,1 個月前,連鎖物品多，一樓因各種生鮮飲品櫃較冷需穿外套。,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,5,1 個月前,服務態度在全部的全聯裡是前段班,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,3,1 個月前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,3,2 個月前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,5,2 個月前,很大的全聯,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,3,2 個月前,二樓的動線跟氛圍都很奇怪,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,1,2 個月前,"各位好！雪納瑞簡直是驚呆了！
在別家店有特價的東西，這裡好像沒有特價！
我是11/18去的，代表活動已經進行一陣子了，但是這家店居然沒放買一送一的牌子，當時人很多我就沒問店員了，不管是沒特價或是沒放牌子，我都認為不好！

（圖片是別家店有特價的照片）",11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,5,2 個月前,物美價廉,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,3,2 個月前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,5,2 個月前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,4,2 個月前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,3,2 個月前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,4,2 個月前,日用品齊全,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,4,2 個月前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,3,2 個月前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,4,2 個月前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,5,2 個月前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,5,2 個月前,,11070台北市信義區松隆路36號
全聯福利中心Pxmart 信義松興,2021-01-26,5,2 個月前,離我們家很近，我和我爸媽常常去全聯買東西，全聯像是我們家的冰箱有很多東西。,11070台北市信義區松隆路36號
