Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 信義松隆,2021-01-26,4,6 天前,生意很好的一家全聯，門口總是停滿摩托車腳踏車，因為在世界健身房隔壁所以常去消費，現煮咖啡很便宜最近又多了麵包櫃，收銀員結帳很有效率，算麻雀雖小，五臟俱全的量販店,110台北市信義區松隆路125號
全聯福利中心Pxmart 信義松隆,2021-01-26,4,6 天前,還不錯,110台北市信義區松隆路125號
全聯福利中心Pxmart 信義松隆,2021-01-26,4,1 週前,景色宜人~美不勝收,110台北市信義區松隆路125號
全聯福利中心Pxmart 信義松隆,2021-01-26,3,1 週前,,110台北市信義區松隆路125號
全聯福利中心Pxmart 信義松隆,2021-01-26,5,1 週前,,110台北市信義區松隆路125號
全聯福利中心Pxmart 信義松隆,2021-01-26,4,1 週前,,110台北市信義區松隆路125號
全聯福利中心Pxmart 信義松隆,2021-01-26,2,2 週前,店員態度要加強,110台北市信義區松隆路125號
全聯福利中心Pxmart 信義松隆,2021-01-26,4,2 週前,,110台北市信義區松隆路125號
全聯福利中心Pxmart 信義松隆,2021-01-26,5,3 週前,,110台北市信義區松隆路125號
全聯福利中心Pxmart 信義松隆,2021-01-26,1,3 週前,消費體驗不佳,110台北市信義區松隆路125號
全聯福利中心Pxmart 信義松隆,2021-01-26,4,3 週前,,110台北市信義區松隆路125號
全聯福利中心Pxmart 信義松隆,2021-01-26,3,3 週前,,110台北市信義區松隆路125號
全聯福利中心Pxmart 信義松隆,2021-01-26,4,3 週前,,110台北市信義區松隆路125號
全聯福利中心Pxmart 信義松隆,2021-01-26,5,4 週前,請支援收銀~,110台北市信義區松隆路125號
全聯福利中心Pxmart 信義松隆,2021-01-26,5,4 週前,,110台北市信義區松隆路125號
全聯福利中心Pxmart 信義松隆,2021-01-26,4,4 週前,,110台北市信義區松隆路125號
全聯福利中心Pxmart 信義松隆,2021-01-26,5,1 個月前,"(由 Google 提供翻譯) 大間

(原始評論)
大間東西多",110台北市信義區松隆路125號
全聯福利中心Pxmart 信義松隆,2021-01-26,4,1 個月前,,110台北市信義區松隆路125號
全聯福利中心Pxmart 信義松隆,2021-01-26,5,1 個月前,麵包水果選擇多，座位區與打包區的安排很貼心,110台北市信義區松隆路125號
全聯福利中心Pxmart 信義松隆,2021-01-26,5,1 個月前,,110台北市信義區松隆路125號
全聯福利中心Pxmart 信義松隆,2021-01-26,4,1 個月前,,110台北市信義區松隆路125號
全聯福利中心Pxmart 信義松隆,2021-01-26,5,1 個月前,,110台北市信義區松隆路125號
全聯福利中心Pxmart 信義松隆,2021-01-26,3,1 個月前,"2019：(★★)
住在附近二十多個年頭， 從以前松青超市的時代，到現在的全聯， 這家全聯超市的商品，經常貨架商品是空空(被買光)，問何時補貨，常常得到""不知道!""的回覆。(★★)
賣場服務人員少，經常找不到人服務， 都要到收銀台詢問， 有時收銀台大排長龍，以前松青超市的管理感覺比較好。(★★)
[ 松隆路活動中心的全聯超市，就不會有這樣的情形，物品補貨快， 也從不會找不到服務人員。]
2020：(★★★)
1. 貨品多樣也足，蔬果/麵包新鮮、食品或日用品算齊全。(★★★)
2.貨架物品重佈置，補貨速度有改善。(★★★)
3. 服務人員較多，結帳區人力不足會廣播找支援且支援人力在短時間就會到。(★★★)",110台北市信義區松隆路125號
全聯福利中心Pxmart 信義松隆,2021-01-26,3,1 個月前,,110台北市信義區松隆路125號
全聯福利中心Pxmart 信義松隆,2021-01-26,3,1 個月前,嗯 全聯,110台北市信義區松隆路125號
全聯福利中心Pxmart 信義松隆,2021-01-26,5,1 個月前,,110台北市信義區松隆路125號
全聯福利中心Pxmart 信義松隆,2021-01-26,4,1 個月前,,110台北市信義區松隆路125號
全聯福利中心Pxmart 信義松隆,2021-01-26,3,1 個月前,"(由 Google 提供翻譯) ㄩ

(原始評論)
ㄩ",110台北市信義區松隆路125號
全聯福利中心Pxmart 信義松隆,2021-01-26,5,1 個月前,,110台北市信義區松隆路125號
