Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 信義黎忠,2021-01-26,4,2 天前,還蠻大的,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,1 週前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,1 週前,營業面積大，東西比較齊全,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,4,1 週前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,4,2 週前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,2 週前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,3 週前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,3 週前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,4 週前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,4 週前,"(由 Google 提供翻譯) 哦，好買。

(原始評論)
大間，好買。",11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,4 週前,"(由 Google 提供翻譯) 乾淨寬敞的超市。前面有大約5或6個停車位。

(原始評論)
Clean and roomy super market.  With about 5 or 6 car parking spots available in the front.",11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,4 週前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,4,1 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,4,1 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,3,1 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,1 個月前,平日社區採買用品及食物的好地方。店外有機車格及停車格，門口的空間也很大，方便停車及整理採購物品。室內空間明亮，貨架物品擺放整齊，走道的空間還算大，客人勉強可以擦身而過。生活物品很齊全，選擇也多，臨時需要採買的好去處。,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,1 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,1 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,1 個月前,東西多,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,4,1 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,4,1 個月前,大型物料齊，有用心覜劃，門面的植物牆全枯了，還可再加油！,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,2 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,2 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,2 個月前,東西很齊全,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,2 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,4,2 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,4,2 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,2 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,2 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,2 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,3,2 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,2 個月前,大家的好朋友！等買一送一更划算,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,3,2 個月前,普通的全聯,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,2 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,3,2 個月前,很多商品都沒不齊，價格標示不清,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,2 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,4,2 個月前,"(由 Google 提供翻譯) 好

(原始評論)
Good",11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,3 個月前,物品多樣,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,4,3 個月前,算是社區人家的冰箱吧！,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,3 個月前,東西多又有許多優惠,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,4,3 個月前,購買家庭用品的好地方,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,3,3 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,4,3 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,1,3 個月前,不太懂為什麼沒有賣冷凍火鍋料,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,3 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,3,3 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,4,3 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,3 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,3 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,4,4 個月前,"停車方便,空間大,很好逛~ 但烘焙選擇有點少! 小可惜.
其他都很不錯!",11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,4 個月前,應有盡有，買就對了。,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,4,4 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,4,4 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,4 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,4,4 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,4 個月前,備有小型停車場，快速採買，安心方便，近期全聯品項越來越豐富，但東西也越來越貴,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,4,4 個月前,,11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,5,4 個月前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",11057台北市信義區和平東路三段391巷16號
全聯福利中心Pxmart 信義黎忠,2021-01-26,4,4 個月前,"(由 Google 提供翻譯) 佈局不錯，有四個停車場很方便，

(原始評論)
Nice layout, 4 parking lots which are convenient,",11057台北市信義區和平東路三段391巷16號
