Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 內湖,2021-01-26,5 ,7 小時前,東西品相多，擺設質感佳,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,5 ,2 天前,,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,4 ,1 週前,,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,4 ,2 週前,,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,4 ,2 週前,,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,1 ,2 週前,收銀員人手不足，這好像是全聯通病，內湖港墘店更是誇張的排隊結帳人潮，不知全聯管理層看到了嗎？,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,5 ,2 週前,,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,5 ,3 週前,,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,5 ,3 週前,很大，東西多，停車場好停,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,5 ,1 個月前,分一樓與地下一樓兩層，以超市來說空間還算寬敞，品項很豐富，能夠滿足日常採購。,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,5 ,1 個月前,方便的好鄰居,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,5 ,1 個月前,蔬果新鮮👍,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,3 ,1 個月前,"蠻精緻的賣場，場地不是很大，基本的蔬菜肉品等該有都有了。在這樣空間，還留了坐位區在入門右側最內，可見賣場貼心之處，可以採購之餘，現場買個蛋糕點杯咖啡，坐下享有一下，咖啡領空杯自己操作也算半自助。也設了提款機，方便花錢。
全聯推PX pay , 是有優惠，不過不習慣用電子支付也可以用信用卡。是方便的好鄰居。",11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,4 ,1 個月前,,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,4 ,1 個月前,,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,4 ,1 個月前,,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,5 ,1 個月前,乾淨，有高級的感覺,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,5 ,1 個月前,,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,4 ,1 個月前,,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,4 ,1 個月前,,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,5 ,1 個月前,,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,1 ,1 個月前,,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,5 ,1 個月前,,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,4 ,2 個月前,,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,3 ,2 個月前,算是稍微大的全聯門市，可以買到多種樣式好吃的麵包。但熟食比較少,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,4 ,2 個月前,,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,5 ,2 個月前,,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,4 ,2 個月前,,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,4 ,2 個月前,,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,3 ,2 個月前,請支援收銀。,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,1 ,2 個月前,這家全聯都不提供購物裝箱的紙箱 就是也勉強提供很小的紙箱及薄膜小塑膠袋，好像請你別買太多，服務人員也是很難看到親切笑容 ，冷漠的表情刻板的印象,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,1 ,2 個月前,"店員態度很糟糕
只要去買東西都很容易有不好的體驗
真的希望全聯能夠好好的教育訓練員工
以及把商品優惠限制標示清楚！",11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,5 ,2 個月前,,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,1 ,2 個月前,結帳時常常發生錯誤！金額是多算而非少算！明細最好要細看！免得自己損失！！切記！,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,3 ,2 個月前,,11445台北市內湖區文湖街31號1號樓、B1
全聯福利中心Pxmart 內湖,2021-01-26,3 ,2 個月前,,11445台北市內湖區文湖街31號1號樓、B1
