Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 內湖安康,2021-01-26,4 ,3 天前,"全聯，沒什麼好介紹的，社區型的超市，走入社區，走入人群，貼近消費者，我個人覺得他們的策略是成功的。家X福也在學習他們走入社區，但是顯然慢了3步。

＊以上純屬個人看法，僅供參酌",11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,3 ,1 週前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,4 ,4 週前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,4 ,1 個月前,商品多樣性。,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,5 ,1 個月前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,4 ,1 個月前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,4 ,2 個月前,此家產品樣數比較少,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,1 ,2 個月前,用pxpay結帳 莫名其妙被重複扣款兩次⋯,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,4 ,2 個月前,"貨品齊全結帳快速
員工親切，會再訪的店",11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,3 ,2 個月前,小型超市，商品選擇少，停車不方便不好逛,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,3 ,2 個月前,空間太狹窄，產品偏少，不好逛。,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,4 ,3 個月前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,5 ,3 個月前,"乾淨整齊，商品蠻齊全~價格合理，店員都很客氣
麵包18:00過後（幾乎） 五個100 經濟實惠",11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,5 ,3 個月前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,4 ,3 個月前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,5 ,4 個月前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,3 ,4 個月前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,1 ,4 個月前,貨品項目常不齊全....常當期促銷品沒賣,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,3 ,5 個月前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,5 ,5 個月前,可惜地方小但是很貼心有電梯上二樓,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,5 ,5 個月前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,5 ,5 個月前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,5 ,6 個月前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,5 ,6 個月前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,5 ,7 個月前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,4 ,7 個月前,購物方便服務人員態度佳,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,5 ,7 個月前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,4 ,7 個月前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,4 ,7 個月前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,4 ,7 個月前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,4 ,8 個月前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,4 ,8 個月前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,3 ,10 個月前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,4 ,10 個月前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,3 ,10 個月前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,4 ,10 個月前,社區小店提供日常商品很方便，服務員態度也不錯！,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,3 ,11 個月前,"(由 Google 提供翻譯) 小而美

(原始評論)
小而美",11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,5 ,11 個月前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,3 ,11 個月前,"(由 Google 提供翻譯) 比7-11便利商店便宜

(原始評論)
比7-11便利商店便宜",11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,3 ,1 年前,地點很好但停車不方便,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,5 ,1 年前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,5 ,1 年前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,5 ,1 年前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,5 ,1 年前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,4 ,1 年前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,3 ,1 年前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,4 ,1 年前,"場地乾淨,貨色齊全。",11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,5 ,1 年前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,2 ,1 年前,要什麼沒什麼，產品還刷錯...,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,5 ,1 年前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,5 ,1 年前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,4 ,1 年前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,4 ,1 年前,,11487台北市內湖區東湖路135號1、2樓
全聯福利中心Pxmart 內湖安康,2021-01-26,2 ,1 年前,店面很小，走道窄，零食種類超少.....,11487台北市內湖區東湖路135號1、2樓
