Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 內湖德安,2021-01-26,4 ,1 天前,,11459台北市內湖區成功路４段30巷28弄29號及B1
全聯福利中心Pxmart 內湖德安,2021-01-26,1 ,2 天前,,11459台北市內湖區成功路４段30巷28弄29號及B1
全聯福利中心Pxmart 內湖德安,2021-01-26,4 ,3 天前,,11459台北市內湖區成功路４段30巷28弄29號及B1
全聯福利中心Pxmart 內湖德安,2021-01-26,5 ,5 天前,"(由 Google 提供翻譯) 不錯

(原始評論)
nice",11459台北市內湖區成功路４段30巷28弄29號及B1
全聯福利中心Pxmart 內湖德安,2021-01-26,3 ,6 天前,,11459台北市內湖區成功路４段30巷28弄29號及B1
全聯福利中心Pxmart 內湖德安,2021-01-26,3 ,1 週前,,11459台北市內湖區成功路４段30巷28弄29號及B1
全聯福利中心Pxmart 內湖德安,2021-01-26,3 ,1 週前,,11459台北市內湖區成功路４段30巷28弄29號及B1
全聯福利中心Pxmart 內湖德安,2021-01-26,4 ,1 週前,不好停車,11459台北市內湖區成功路４段30巷28弄29號及B1
全聯福利中心Pxmart 內湖德安,2021-01-26,2 ,1 週前,貨品如一般超市，但位置在地下室，原本有電梯，現改為貨梯，這對於子女上班，年紀稍大或帶著外勞坐輪椅的婆媽和男士們，拖著菜籃車或提著重物爬兩層樓梯，太過吃力，貨品寄貨梯要先跟櫃檯講才能用，然後人再爬樓梯上樓，真的很不便或無言,11459台北市內湖區成功路４段30巷28弄29號及B1
全聯福利中心Pxmart 內湖德安,2021-01-26,5 ,1 週前,請支援收銀,11459台北市內湖區成功路４段30巷28弄29號及B1
全聯福利中心Pxmart 內湖德安,2021-01-26,3 ,1 週前,,11459台北市內湖區成功路４段30巷28弄29號及B1
全聯福利中心Pxmart 內湖德安,2021-01-26,3 ,1 週前,2021.1.11(首訪)階梯很陡，老年人要小心，收銀台只有一人結帳。,11459台北市內湖區成功路４段30巷28弄29號及B1
全聯福利中心Pxmart 內湖德安,2021-01-26,4 ,2 週前,,11459台北市內湖區成功路４段30巷28弄29號及B1
全聯福利中心Pxmart 內湖德安,2021-01-26,5 ,2 週前,比桃園小了點,11459台北市內湖區成功路４段30巷28弄29號及B1
全聯福利中心Pxmart 內湖德安,2021-01-26,1 ,2 週前,,11459台北市內湖區成功路４段30巷28弄29號及B1
全聯福利中心Pxmart 內湖德安,2021-01-26,3 ,2 週前,,11459台北市內湖區成功路４段30巷28弄29號及B1
全聯福利中心Pxmart 內湖德安,2021-01-26,3 ,3 週前,,11459台北市內湖區成功路４段30巷28弄29號及B1
全聯福利中心Pxmart 內湖德安,2021-01-26,4 ,3 週前,,11459台北市內湖區成功路４段30巷28弄29號及B1
全聯福利中心Pxmart 內湖德安,2021-01-26,5 ,3 週前,,11459台北市內湖區成功路４段30巷28弄29號及B1
全聯福利中心Pxmart 內湖德安,2021-01-26,1 ,3 週前,,11459台北市內湖區成功路４段30巷28弄29號及B1
全聯福利中心Pxmart 內湖德安,2021-01-26,5 ,3 週前,,11459台北市內湖區成功路４段30巷28弄29號及B1
