Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 內湖文德,2021-01-26,5 ,1 天前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,2 ,2 週前,"(由 Google 提供翻譯) 不是所有的信用卡公司的可刷，不方便

(原始評論)
不是所有的信用卡公司的可刷，不方便",11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,4 ,2 週前,採買的環境與設施，以及品項，都還不錯啦！,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,5 ,2 週前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,5 ,2 週前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,5 ,3 週前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,5 ,3 週前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,5 ,3 週前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,5 ,3 週前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,4 ,3 週前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,4 ,4 週前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,3 ,4 週前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,1 ,1 個月前,"(由 Google 提供翻譯) 差

(原始評論)
差",11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,5 ,1 個月前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,3 ,1 個月前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,5 ,1 個月前,貨物齊全，工作人員服務態度很好,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,4 ,1 個月前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,3 ,1 個月前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,4 ,1 個月前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,5 ,1 個月前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,5 ,1 個月前,在鬧區裡，非常方便。,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,5 ,1 個月前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,5 ,1 個月前,"(由 Google 提供翻譯) 方便快速

(原始評論)
方便快速",11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,5 ,1 個月前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,5 ,2 個月前,可以慢慢逛，購買想吃的,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,4 ,2 個月前,雖然相較其他門市不大，但買生鮮食材還是很方便，日常生活用品夠用。,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,4 ,2 個月前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,5 ,2 個月前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,4 ,2 個月前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,4 ,2 個月前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,5 ,2 個月前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,5 ,2 個月前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,4 ,2 個月前,方便購物好鄰居，可惜的是停車較不方便（我是過路客）。,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,3 ,2 個月前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,1 ,3 個月前,早上去購物看到在補貨的工作人員把整箱正要上架的餅乾用丟的丟在地上，還用腳踢整箱餅乾我想餅乾都碎了吧！此工作態度令人不敢恭維，希望此店的管理人員能夠正視此問題，不然來此購物的客人買到被摔碎的餅乾感受很差,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,4 ,3 個月前,"受限於賣場面積小,通道窄.有生鮮櫃,東西算齊全.買500元送對面停車場免費停一小時,不錯的福利.",11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,4 ,3 個月前,"(由 Google 提供翻譯) 方便，便宜，附近有停車場。

(原始評論)
Convenient, cheaper and there is parking nearby.",11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,5 ,3 個月前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,4 ,3 個月前,門市不算大，但是時常有多樣的蔬菜可選擇，餅乾乾糧飲料冷凍品在二樓。,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,4 ,3 個月前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,5 ,3 個月前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,4 ,3 個月前,,11648台北市文山區木柵路三段41號
全聯福利中心Pxmart 內湖文德,2021-01-26,4 ,4 個月前,,11648台北市文山區木柵路三段41號
