Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 內湖葫洲,2021-01-26,4 ,1 天前,,11483台北市內湖區民權東路六段296巷20號
全聯福利中心Pxmart 內湖葫洲,2021-01-26,5 ,1 週前,"謝謝葫洲門市店員🙏
前幾天晚上至葫洲門市採買後，
不小心將個人物品遺漏在推車上，
致電後很謝謝店員立即處理並回覆說有尋找到我的物品，
而且也幫我處理且好好保管
很謝謝葫洲門市的貼心☺️☺️",11483台北市內湖區民權東路六段296巷20號
全聯福利中心Pxmart 內湖葫洲,2021-01-26,4 ,1 週前,,11483台北市內湖區民權東路六段296巷20號
全聯福利中心Pxmart 內湖葫洲,2021-01-26,5 ,1 週前,開車去不怕沒車位停，全聯旁邊就是停車場，只要到店內消費就可免費停車喔！！（不過從全聯後方的B1也是可以停，只不過地下室的味道不好聞。）,11483台北市內湖區民權東路六段296巷20號
全聯福利中心Pxmart 內湖葫洲,2021-01-26,4 ,2 週前,,11483台北市內湖區民權東路六段296巷20號
全聯福利中心Pxmart 內湖葫洲,2021-01-26,3 ,2 週前,同樣的全聯，我會比較喜歡去附近明湖國中後面的那一家，東西比較齊全，賣場比較寬敞，集點兌換券備品也比較多！,11483台北市內湖區民權東路六段296巷20號
全聯福利中心Pxmart 內湖葫洲,2021-01-26,2 ,2 週前,非常難停的停車場，動線差,11483台北市內湖區民權東路六段296巷20號
全聯福利中心Pxmart 內湖葫洲,2021-01-26,4 ,3 週前,,11483台北市內湖區民權東路六段296巷20號
全聯福利中心Pxmart 內湖葫洲,2021-01-26,5 ,3 週前,東西新鮮，良好的服務。,11483台北市內湖區民權東路六段296巷20號
全聯福利中心Pxmart 內湖葫洲,2021-01-26,4 ,3 週前,此店原為「松青超市」，環境寬敞舒適，裝潢擺設有旗艦店的格調，商品齊全，補貨快速，各式熱麵包琳瑯滿目，但並不可口，停車不便也是缺點。,11483台北市內湖區民權東路六段296巷20號
