Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 北市延平,2021-01-26,5 ,1 天前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,4 ,5 天前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,4 ,6 天前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,4 ,6 天前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,4 ,1 週前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,3 ,1 週前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,4 ,1 週前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,5 ,2 週前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,5 ,2 週前,我方便停車~,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,4 ,2 週前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,5 ,2 週前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,4 ,2 週前,"(由 Google 提供翻譯) 需要更多收銀台以加快付款速度

(原始評論)
Need more cashier counter for fastest payments",11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,1 ,2 週前,只是不知道能不能報個會員而已店員的態度那麼差是在兇幾點的？,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,3 ,3 週前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,3 ,3 週前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,3 ,3 週前,"(由 Google 提供翻譯) 人太多

(原始評論)
人太多",11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,4 ,3 週前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,5 ,4 週前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,1 ,1 個月前,看照片說明就知道為何是負評，無良店家 “全聯延平店”,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,3 ,1 個月前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,4 ,1 個月前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,1 ,1 個月前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,5 ,1 個月前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,3 ,1 個月前,常常結帳大排長龍,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,5 ,1 個月前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,5 ,1 個月前,方便購物的地方,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,5 ,1 個月前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,4 ,1 個月前,購物好地方,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,4 ,1 個月前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,5 ,1 個月前,全聯的福利,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,5 ,1 個月前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,3 ,1 個月前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,4 ,1 個月前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,5 ,1 個月前,"(由 Google 提供翻譯) 很方便！

(原始評論)
很方便！",11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,3 ,1 個月前,"結帳永遠都要排隊
常常都買很多東西提不動了
排隊又排很久
推車子又不方便 空間小",11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,4 ,1 個月前,常常湧現人潮，常常要支援收銀。,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,3 ,1 個月前,平價商品，適合全家選購。,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,4 ,1 個月前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,5 ,1 個月前,"(由 Google 提供翻譯) 完成日常需求

(原始評論)
完成日常需求",11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,5 ,2 個月前,很棒，服務人員親切有禮 。我每周都會去採買日用品等。,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,5 ,2 個月前,"(由 Google 提供翻譯) 好

(原始評論)
好",11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,3 ,2 個月前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,5 ,2 個月前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,5 ,2 個月前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,2 ,2 個月前,方便，但結帳動線超差，每次都要等到排一長龍才要請支援收銀。。。非必要不會想去買。,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,3 ,2 個月前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,4 ,2 個月前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,5 ,2 個月前,很好買,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,5 ,2 個月前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,5 ,2 個月前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,3 ,2 個月前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,5 ,2 個月前,,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,3 ,2 個月前,貨架間距擁擠很窄，等待結帳的人都會卡到生鮮區的動線,11173台北市士林區延平北路五段238號
全聯福利中心Pxmart 北市延平,2021-01-26,3 ,2 個月前,,11173台北市士林區延平北路五段238號
