Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 北市建國,2021-01-26,5,1 天前,如果家裡樓下能有間平價超市的話，真是很幸福...,10659台北市大安區建國南路二段123巷16號
全聯福利中心Pxmart 北市建國,2021-01-26,2,2 天前,改裝後變明亮，生鮮、進口食品變多，也有咖啡機了。但東西變貴，有次還發現同個商品，附近另間全聯的售價比這間便宜$1元？不知是否將改裝費轉嫁到客人身上？ 希望店家注意售價合理性，謝謝,10659台北市大安區建國南路二段123巷16號
全聯福利中心Pxmart 北市建國,2021-01-26,5,5 天前,,10659台北市大安區建國南路二段123巷16號
全聯福利中心Pxmart 北市建國,2021-01-26,5,5 天前,,10659台北市大安區建國南路二段123巷16號
全聯福利中心Pxmart 北市建國,2021-01-26,1,6 天前,,10659台北市大安區建國南路二段123巷16號
全聯福利中心Pxmart 北市建國,2021-01-26,4,1 週前,,10659台北市大安區建國南路二段123巷16號
全聯福利中心Pxmart 北市建國,2021-01-26,4,1 週前,食材比較新鮮唷！因為在國宅旁 來客多 輪轉快！,10659台北市大安區建國南路二段123巷16號
全聯福利中心Pxmart 北市建國,2021-01-26,5,2 週前,買食材回家都在這邊買，超方便,10659台北市大安區建國南路二段123巷16號
全聯福利中心Pxmart 北市建國,2021-01-26,4,2 週前,,10659台北市大安區建國南路二段123巷16號
全聯福利中心Pxmart 北市建國,2021-01-26,4,4 週前,真的有百貨公司超市的水準！,10659台北市大安區建國南路二段123巷16號
全聯福利中心Pxmart 北市建國,2021-01-26,5,4 週前,,10659台北市大安區建國南路二段123巷16號
全聯福利中心Pxmart 北市建國,2021-01-26,5,1 個月前,,10659台北市大安區建國南路二段123巷16號
全聯福利中心Pxmart 北市建國,2021-01-26,4,1 個月前,,10659台北市大安區建國南路二段123巷16號
全聯福利中心Pxmart 北市建國,2021-01-26,5,1 個月前,雖然是在地下一樓，但是擺放空間與動線都會讓人想再去,10659台北市大安區建國南路二段123巷16號
全聯福利中心Pxmart 北市建國,2021-01-26,5,1 個月前,整修過。整理得很清爽乾淨。,10659台北市大安區建國南路二段123巷16號
全聯福利中心Pxmart 北市建國,2021-01-26,4,1 個月前,服務不錯,10659台北市大安區建國南路二段123巷16號
全聯福利中心Pxmart 北市建國,2021-01-26,5,1 個月前,"門市換新裝了！
整個賣場與百貨公司的超市沒兩樣，
逛起來很舒服！",10659台北市大安區建國南路二段123巷16號
全聯福利中心Pxmart 北市建國,2021-01-26,5,1 個月前,人员服務態度親切！賣場整潔有序！',10659台北市大安區建國南路二段123巷16號
全聯福利中心Pxmart 北市建國,2021-01-26,2,2 個月前,,10659台北市大安區建國南路二段123巷16號
全聯福利中心Pxmart 北市建國,2021-01-26,4,2 個月前,,10659台北市大安區建國南路二段123巷16號
全聯福利中心Pxmart 北市建國,2021-01-26,3,2 個月前,,10659台北市大安區建國南路二段123巷16號
全聯福利中心Pxmart 北市建國,2021-01-26,2,2 個月前,改裝之後員工素質變得很差會以自己整理優先完全不管有沒有客人在選東西，進口的食品和葉菜類的能選的很少，可能要改去遠一點的地方,10659台北市大安區建國南路二段123巷16號
全聯福利中心Pxmart 北市建國,2021-01-26,4,2 個月前,,10659台北市大安區建國南路二段123巷16號
全聯福利中心Pxmart 北市建國,2021-01-26,4,2 個月前,,10659台北市大安區建國南路二段123巷16號
全聯福利中心Pxmart 北市建國,2021-01-26,4,2 個月前,冷氣很冷，走道很擠，碰到推推車的顧客就很麻煩，過不去。,10659台北市大安區建國南路二段123巷16號
全聯福利中心Pxmart 北市建國,2021-01-26,4,2 個月前,沒電梯有點困擾 其他不錯,10659台北市大安區建國南路二段123巷16號
全聯福利中心Pxmart 北市建國,2021-01-26,4,2 個月前,重裝潢後，燈光，走道，物品擺放皆佳。,10659台北市大安區建國南路二段123巷16號
全聯福利中心Pxmart 北市建國,2021-01-26,5,2 個月前,"(由 Google 提供翻譯) 很棒

(原始評論)
很棒",10659台北市大安區建國南路二段123巷16號
全聯福利中心Pxmart 北市建國,2021-01-26,4,3 個月前,,10659台北市大安區建國南路二段123巷16號
