Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 北投,2021-01-26,4 ,7 小時前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,3 ,18 小時前,位於北投捷運站旁的大樓地下室，入口空間不大，店面也因地制宜小了些，但產品依樣都充足。,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,4 ,3 天前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,5 ,3 天前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,4 ,4 天前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,4 ,6 天前,寬敞明亮,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,5 ,1 週前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,5 ,1 週前,明亮，物品補貨上架速度很快,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,4 ,1 週前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,3 ,1 週前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,5 ,2 週前,社區型態方便購物！,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,4 ,2 週前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,5 ,2 週前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,5 ,3 週前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,4 ,3 週前,氣氛好店員服務好,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,5 ,3 週前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,4 ,3 週前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,4 ,3 週前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,4 ,4 週前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,5 ,4 週前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,5 ,4 週前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,3 ,1 個月前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,4 ,1 個月前,沒有電梯蠻麻煩的不適合帶小孩前往,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,4 ,1 個月前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,3 ,1 個月前,場地很寬敞，可是貨物種類不多,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,4 ,1 個月前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,5 ,1 個月前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,5 ,1 個月前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,5 ,1 個月前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,5 ,1 個月前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,3 ,1 個月前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,5 ,1 個月前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,4 ,1 個月前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,4 ,1 個月前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,4 ,1 個月前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,3 ,1 個月前,"停車太貴
沒買500 一小時要收60",11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,4 ,1 個月前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,5 ,1 個月前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,3 ,1 個月前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,5 ,1 個月前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,4 ,1 個月前,比中和街及復興崗的大間，也比較好逛,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,4 ,1 個月前,買東西方便,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,4 ,1 個月前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,5 ,1 個月前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,5 ,1 個月前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,5 ,1 個月前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,4 ,1 個月前,"(由 Google 提供翻譯) 位置便利，但在地下1層，足夠容納雜貨和必需品。

(原始評論)
Conveniently located, but on basement 1, large enough for groceries and necessities.",11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,4 ,2 個月前,星期一 顧客比較多。,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,3 ,2 個月前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,4 ,2 個月前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,5 ,2 個月前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,2 ,2 個月前,"明明說了要用「信用卡」支付
結帳卻結成悠遊卡付費，錢不夠自動轉帳
（沒給明細）收到500的刷卡開銷，查半天...
雖然是新手收銀員，但品質要顧一下",11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,4 ,2 個月前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,4 ,2 個月前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,5 ,2 個月前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,4 ,2 個月前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,4 ,2 個月前,空間大 食材擺放位置整齊分明,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,4 ,2 個月前,,11268台北市北投區北投路二段11號
全聯福利中心Pxmart 北投,2021-01-26,5 ,2 個月前,,11268台北市北投區北投路二段11號
