Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 北投中和,2021-01-26,4 ,1 天前,,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,4 ,2 天前,,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,5 ,1 週前,很好買，服務好,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,4 ,1 週前,比起其他店，空間明顯小很多。,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,4 ,1 週前,很多東西，甜點區很豐盛，只是櫃檯地方有一滴點擠,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,4 ,2 週前,空間比較小,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,5 ,2 週前,,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,4 ,3 週前,,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,3 ,4 週前,外觀壯大，內容太少,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,4 ,4 週前,,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,3 ,1 個月前,,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,4 ,1 個月前,,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,4 ,1 個月前,,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,4 ,1 個月前,,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,3 ,2 個月前,,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,5 ,2 個月前,,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,4 ,2 個月前,,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,3 ,2 個月前,還算不錯,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,5 ,2 個月前,,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,4 ,2 個月前,,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,3 ,2 個月前,,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,5 ,2 個月前,,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,1 ,2 個月前,走道空間很小很小很小。兩人都無法平行走  真窄(北投中和街分店),11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,5 ,3 個月前,,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,5 ,3 個月前,,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,5 ,3 個月前,,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,4 ,3 個月前,,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,5 ,3 個月前,住北投真好，風景美麗，買東西方便,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,5 ,3 個月前,,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,3 ,4 個月前,一全聯來說算是比較小間的賣場,11252台北市北投區中和街49號1號樓、B1
全聯福利中心Pxmart 北投中和,2021-01-26,1 ,4 個月前,"有告知櫃檯結帳人員請幫忙列印發票,結帳人員還確定要不要列印,再次回答請列印,結果還是沒有列印發表出來,真的是....",11252台北市北投區中和街49號1號樓、B1
