Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 北投吉利,2021-01-26,3 ,1 週前,大號的全聯賣場,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,1 週前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,1 週前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,2 週前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,2 週前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,2 週前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,2 週前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,3 週前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,3 週前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,3 週前,"發現有趣的食材：翼豆
吃起來口感清脆爽口
我想我會繼續在全聯嘗試
期待沒吃過也沒看過的食材🤩",11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,3 週前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,3 週前,接近傍晚日潮多需排隊結帳,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,3 ,3 週前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,3 週前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,4 週前,空間寬敞明亮~,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,1 個月前,造福我們這一區里民的便利性！,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,1 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,3 ,1 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,1 個月前,"(由 Google 提供翻譯) 很多產品

(原始評論)
産品多",11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,1 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,1 個月前,價格便宜商品種類豐富，好厝邊,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,1 個月前,"(由 Google 提供翻譯) 棒

(原始評論)
棒",11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,3 ,1 個月前,很多商品，但吉利超市賣更多商品,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,1 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,3 ,1 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,1 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,1 個月前,服務親切,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,3 ,1 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,1 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,1 個月前,"附近鄰里採購方便的好朋友
但家庭採買停車不易",11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,1 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,3 ,1 個月前,一直以來生意都很好！就是常常缺貨，價格也是一般般；反應了有都沒有改進！,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,2 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,2 個月前,親切,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,2 ,2 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,2 個月前,地點方便,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,2 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,3 ,2 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,2 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,2 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,2 個月前,"走道和櫃檯前空間較小，結帳易塞車
生鮮區蠻大，品項算有",11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,2 個月前,"(由 Google 提供翻譯) 商品多好方便

(原始評論)
商品多好方便",11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,2 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,2 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,2 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,3 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,3 個月前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,3 個月前,"物品種類多
就可以買到需要的
不用到家樂福購買
現在可以買到
炒麵
炒飯
真的好方便",11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,3 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,3 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,3 ,3 個月前,"(由 Google 提供翻譯) 便利店

(原始評論)
Convenient stores",11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,3 個月前,地方超市下雨天的好選擇,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,3 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,3 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,4 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,4 個月前,方便  順路,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,1 ,4 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,4 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,3 ,4 個月前,舒服，好買，地方大。。,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,4 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,4 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,4 個月前,貨架上還滿空的，可能中元節來不及補貨,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,1 ,4 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,4 個月前,商店面積大，商品選擇多樣,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,4 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,4 個月前,每次結帳都要排好久，累啊,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,3 ,5 個月前,……,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,5 個月前,賣場大 東西齊全,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,3 ,5 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,3 ,5 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,5 個月前,物品繁多，價格公道,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,3 ,5 個月前,空間還可以,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,5 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,5 個月前,結帳速度還算快,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,5 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,1 ,5 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,3 ,6 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,6 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,6 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,6 個月前,好多人，結帳時排隊排好久，特價品都是空的，也不知會不會補貨,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,6 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,6 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,6 個月前,還不錯,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,6 個月前,"店員服務態度好，賣場很大東西很多
目前遇到最大的困擾是....有時候會有信用卡業務貼過來搭話 讓人壓力很大",11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,6 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,6 個月前,除了內臟類以外都賣,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,6 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,6 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,6 個月前,收銀員的態度都很好，我有的時候問排貨員要個紙箱都很有禮貌。,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,6 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,6 個月前,好鄰居，方便購物，但常常結帳的價格和標示的不同，失去信心了,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,6 個月前,果然還是要離超市近一點，買東西比較方便,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,3 ,6 個月前,一個好厝邊的賣場,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,6 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,7 個月前,為何連跑二間的全聯，2000ml的黑松沙士都沒有貨？？,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,7 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,7 個月前,"(由 Google 提供翻譯) 很棒

(原始評論)
很棒",11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,3 ,7 個月前,東西種類多，但感覺價格越來越貴了,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,7 個月前,"(由 Google 提供翻譯) 很棒的超市！ ！

(原始評論)
很棒的超市！！",11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,7 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,4 ,7 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,1 ,7 個月前,,11273台北市北投區吉利街125號1樓
全聯福利中心Pxmart 北投吉利,2021-01-26,5 ,7 個月前,,11273台北市北投區吉利街125號1樓
