Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 北投復興崗,2021-01-26,3 ,4 天前,,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,5 ,5 天前,,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,3 ,1 週前,,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,4 ,1 週前,,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,5 ,1 週前,,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,3 ,1 週前,,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,5 ,3 週前,,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,5 ,3 週前,,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,5 ,3 週前,我們的好鄰居，缺什麼找全聯就對啦😁,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,5 ,1 個月前,今天去買兩盒蒟篛捲吃吃 很常在這間買東西 大小間剛好找東西迅速,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,4 ,1 個月前,,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,4 ,1 個月前,好買好逛,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,5 ,1 個月前,"12/16 晚上大概8點40分去全聯買了衛生紙，結完帳忘記拿就離開了，沒想到帥氣的店員小哥一路追到了對街拿給我們!
服務真的太親切了 感謝感謝♡",11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,4 ,1 個月前,,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,3 ,1 個月前,,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,5 ,1 個月前,,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,5 ,1 個月前,購物方便的好鄰居,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,5 ,1 個月前,,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,4 ,1 個月前,購物很方便.停車比較要找車位,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,5 ,1 個月前,檢便宜,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,5 ,1 個月前,服務人員非常好,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,4 ,1 個月前,離家最近的全聯，因位於政戰對面，零食區常會缺貨，真會找點的公司。哈哈!,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,4 ,2 個月前,,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,5 ,2 個月前,,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,5 ,2 個月前,買物好地方,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,5 ,2 個月前,,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,4 ,2 個月前,離家近，補充日常用品很方便。,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,5 ,2 個月前,,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,5 ,2 個月前,商品齊全，價錢合理,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,4 ,2 個月前,,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,3 ,2 個月前,,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,5 ,2 個月前,,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,3 ,2 個月前,可以—服務員比之前親切,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,4 ,2 個月前,貨量多好買,11258台北市北投區中央北路二段181號
全聯福利中心Pxmart 北投復興崗,2021-01-26,5 ,3 個月前,,11258台北市北投區中央北路二段181號
