Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 北投文林北,2021-01-26,5 ,2 天前,服務人員態度親切,11287台北市北投區文林北路116號號1樓
全聯福利中心Pxmart 北投文林北,2021-01-26,5 ,1 週前,全聯大多選在地下室營業， 除了涼快外還很省電費。 少見的一樓店面， 有輪椅昇降裝置很貼心。,11287台北市北投區文林北路116號號1樓
全聯福利中心Pxmart 北投文林北,2021-01-26,4 ,1 週前,悠閒購物空間,11287台北市北投區文林北路116號號1樓
全聯福利中心Pxmart 北投文林北,2021-01-26,4 ,2 週前,店員服務態度熱心,11287台北市北投區文林北路116號號1樓
全聯福利中心Pxmart 北投文林北,2021-01-26,5 ,3 週前,,11287台北市北投區文林北路116號號1樓
全聯福利中心Pxmart 北投文林北,2021-01-26,4 ,4 週前,交通方便，五分鐘內有站牌,11287台北市北投區文林北路116號號1樓
全聯福利中心Pxmart 北投文林北,2021-01-26,5 ,4 週前,,11287台北市北投區文林北路116號號1樓
全聯福利中心Pxmart 北投文林北,2021-01-26,5 ,1 個月前,,11287台北市北投區文林北路116號號1樓
全聯福利中心Pxmart 北投文林北,2021-01-26,1 ,1 個月前,這邊這間明德牙醫原本帶小孩要看牙，因為小朋友看牙會緊張，所以有先詢問有無看兒童，診所回答可以看兒童，結果醫生手法粗糙，讓小朋友不舒服就算，反而讓他更懼怕看牙，真的建議兒童看牙還是找專業兒童牙醫。,11287台北市北投區文林北路116號號1樓
全聯福利中心Pxmart 北投文林北,2021-01-26,4 ,1 個月前,,11287台北市北投區文林北路116號號1樓
全聯福利中心Pxmart 北投文林北,2021-01-26,4 ,1 個月前,,11287台北市北投區文林北路116號號1樓
全聯福利中心Pxmart 北投文林北,2021-01-26,3 ,1 個月前,狹窄,11287台北市北投區文林北路116號號1樓
全聯福利中心Pxmart 北投文林北,2021-01-26,5 ,1 個月前,"(由 Google 提供翻譯) 人不多！很好逛！

(原始評論)
人不多！很好逛！",11287台北市北投區文林北路116號號1樓
全聯福利中心Pxmart 北投文林北,2021-01-26,2 ,1 個月前,,11287台北市北投區文林北路116號號1樓
全聯福利中心Pxmart 北投文林北,2021-01-26,5 ,1 個月前,,11287台北市北投區文林北路116號號1樓
全聯福利中心Pxmart 北投文林北,2021-01-26,4 ,1 個月前,,11287台北市北投區文林北路116號號1樓
全聯福利中心Pxmart 北投文林北,2021-01-26,5 ,1 個月前,平價，cp值高,11287台北市北投區文林北路116號號1樓
全聯福利中心Pxmart 北投文林北,2021-01-26,5 ,1 個月前,,11287台北市北投區文林北路116號號1樓
全聯福利中心Pxmart 北投文林北,2021-01-26,5 ,2 個月前,好鄰居,11287台北市北投區文林北路116號號1樓
全聯福利中心Pxmart 北投文林北,2021-01-26,4 ,2 個月前,,11287台北市北投區文林北路116號號1樓
全聯福利中心Pxmart 北投文林北,2021-01-26,3 ,2 個月前,,11287台北市北投區文林北路116號號1樓
全聯福利中心Pxmart 北投文林北,2021-01-26,5 ,2 個月前,,11287台北市北投區文林北路116號號1樓
全聯福利中心Pxmart 北投文林北,2021-01-26,5 ,2 個月前,整潔,11287台北市北投區文林北路116號號1樓
