Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 北投致遠,2021-01-26,4 ,1 小時前,方便購物,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,5 ,1 天前,比較不好停車,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,3 ,3 天前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,5 ,5 天前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,1 ,1 週前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,3 ,1 週前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,3 ,1 週前,請支援收銀,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,4 ,1 週前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,5 ,2 週前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,1 ,3 週前,改持卡才優惠，未告知消費者，嫌賺太多。,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,4 ,3 週前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,3 ,1 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,5 ,1 個月前,東西很多，但不確定會買    !,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,5 ,1 個月前,"服務一流親切有禮,貨品齊全!採購得心應手!特棒!",11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,5 ,1 個月前,臨近住宅區，購物方便，環境佳,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,5 ,1 個月前,以前都不知道這有全聯！也比想像中大間！東西也比想像中齊全！尤其是葉菜類！幾乎應有盡有！今天晚班小哥哥也很親切！詢問商品也很有耐心回答！,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,5 ,1 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,5 ,1 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,5 ,1 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,3 ,1 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,5 ,1 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,4 ,1 個月前,很小，且在小巷的住宅內，對當地住戶應該很親切而方便，但對我遠道而來的人來說就沒足夠的品項可買。,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,4 ,2 個月前,"全聯價格算得上是親民
各店物品或多或少有差異
有的店找不到
有的店可找得到心目中的東西",11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,4 ,2 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,4 ,2 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,4 ,2 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,5 ,2 個月前,全聯很不錯待客人也很親切,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,5 ,2 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,4 ,2 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,3 ,3 個月前,方便的鄰居。,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,3 ,3 個月前,地區方便/賣場寬廣,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,4 ,3 個月前,服務態度很好,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,4 ,3 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,3 ,3 個月前,"平價好買地
但常常大排長龍等排隊結帳",11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,3 ,3 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,4 ,4 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,5 ,4 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,4 ,4 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,4 ,4 個月前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,3 ,5 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,4 ,5 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,1 ,5 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,4 ,5 個月前,小巷內，住宅區的好朋友,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,5 ,5 個月前,物品繁多，價格公道,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,4 ,5 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,3 ,5 個月前,動線不佳，泡麵常沒有,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,3 ,5 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,5 ,5 個月前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,2 ,5 個月前,停車不便，貨品較他家少,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,4 ,5 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,4 ,5 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,5 ,6 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,4 ,6 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,1 ,6 個月前,這家全聯很小，客人結帳後沒有一個空間可以把東西放進袋子裡，我覺得也沒關係，但是收銀員只顧結帳也不給客人裝東西的時間，就直接請下一位往前結帳，真的令人難以接受，剛剛去購物輪到我結帳時，前面的伯伯還在處理他的東西，我好的時候伯伯還是還沒好，所以搞的我進退兩難，收銀員也漠視我們手忙腳亂的收拾自己的貨品，只想幫下一位客人服務 ，這樣的狀況不是第一次了，你們的手是只能刷條碼跟收錢嗎？不能幫客人裝一下袋子嗎！？不然請清理一個空間讓客人處理自己的貨品好嗎？！,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,3 ,6 個月前,沒賣現磨咖啡,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,4 ,6 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,5 ,6 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,4 ,6 個月前,來超市是民眾方便購買的好地方，但不管購買的價錢如何？消費者👨‍🔧身份👷‍♀️平凡👨‍🎓高貴👩‍🎓，都是💕喜歡👍這家👍💕店產品購買，若能夠更親💝👩‍🔧民和諧👩‍❤️‍👨以待👨‍❤️‍👨💖👨‍👩‍👦消費者👩‍❤️‍💋‍👨～哇哈哈😀～真的是👍全聯＝全💝心💘聯🔌💞繫民眾👷‍♀️👩‍🎓的💗心🥰需求服務喔❤️,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,4 ,6 個月前,服務親切 人員有耐心,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,5 ,6 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,4 ,7 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,5 ,7 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,4 ,7 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,4 ,7 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,5 ,8 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,4 ,8 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,1 ,8 個月前,"晚班那位小哥 跟戴眼鏡的女生
櫃檯結帳別一直聊天 浪費大家時間",11271台北市北投區致遠二路113巷13.15.15-1號
全聯福利中心Pxmart 北投致遠,2021-01-26,5 ,8 個月前,,11271台北市北投區致遠二路113巷13.15.15-1號
