Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 北投行義,2021-01-26,5 ,20 小時前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,1 ,2 天前,疫情期間想噴酒精但找不到。大部分賣場都有放酒精但這間全聯沒有。要改進！,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,5 ,2 天前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,4 ,5 天前,很棒的社區超市,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,5 ,6 天前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,4 ,6 天前,家用貨品食材齊全,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,5 ,2 週前,這家全聯福利中心沒有公設備不是很完整要廁所也沒有設施，人潮也不很多無法形容他的生意好壞，我們不會能有什評論，只能慢慢的欣賞他的坪數和裝潢設計可，各方面都是要改進的必要，是我各人的觀察或暸解，其它後述。,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,3 ,2 週前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,4 ,2 週前,方便的好鄰居！,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,4 ,2 週前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,5 ,3 週前,動線品項都規劃的很好 又乾淨,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,5 ,3 週前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,4 ,4 週前,"(由 Google 提供翻譯) 可惜不能用LINEPAY付款><

(原始評論)
可惜不能用LINEPAY付款><",11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,4 ,1 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,5 ,1 個月前,物美價廉,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,5 ,1 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,4 ,1 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,4 ,1 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,4 ,1 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,5 ,1 個月前,買東西方便，購物流暢,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,2 ,1 個月前,收銀員態度有進步空間，若不想做收銀建議改做內場,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,4 ,1 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,5 ,1 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,4 ,1 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,4 ,1 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,4 ,2 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,5 ,2 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,4 ,2 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,4 ,2 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,4 ,2 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,4 ,2 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,4 ,2 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,4 ,2 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,4 ,2 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,5 ,2 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,5 ,2 個月前,可以先喝喝悠閒的下午咖啡，在購買生活食用品，種類多有價格優~~,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,5 ,2 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,4 ,3 個月前,蔬果種類多的分店。,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,5 ,3 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,5 ,3 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,2 ,3 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,3 ,3 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,3 ,3 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,5 ,3 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,3 ,3 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,4 ,3 個月前,停車方便,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,5 ,3 個月前,方便採購需求之日食用品及感覺親切溫馨,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,3 ,3 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,3 ,3 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,4 ,3 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,4 ,4 個月前,今天臨時買了兩盒雞蛋，恰巧有特價，感覺蠻好的。,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,4 ,4 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,5 ,4 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,5 ,4 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,5 ,4 個月前,"在往行義路上上山的人來說這是最近的超市
地方大又乾淨
動線 光線都很舒適",11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,1 ,4 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,4 ,4 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,5 ,4 個月前,,11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,5 ,4 個月前,"(由 Google 提供翻譯) 漂亮的寬敞市場，設有停車場

(原始評論)
Nice spacious market with parking",11284台北市北投區行義路10巷2號號1樓
全聯福利中心Pxmart 北投行義,2021-01-26,5 ,4 個月前,"生鮮食品選擇多樣，蔬菜還有分一櫃一般蔬菜一櫃有機
就是雞排選擇少了點沒有大成雞排😥
旁邊有ubike站及公車站牌很方便",11284台北市北投區行義路10巷2號號1樓
