Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 北新,2021-01-26,4 ,2 天前,一週來三趟，東西很齊，而且結帳速度快，唯一的缺點是要抓補貨時間，有時候太早或太晚來會撲空，只看到很乾淨的貨架，哈哈,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,4 ,2 天前,,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,5 ,5 天前,購物好環境,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,5 ,1 週前,有無印良品區，讚讚,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,4 ,1 週前,,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,5 ,2 週前,,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,5 ,2 週前,,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,3 ,2 週前,"物品置放比較雜亂
整體還可以",23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,3 ,3 週前,,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,4 ,3 週前,離家近，又很多東西，非常方便,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,5 ,3 週前,,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,5 ,3 週前,常常特價的東西比家樂福便宜吧，而且幾乎所有生活用品都有耶！現在多了一區，無印良品區。,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,3 ,4 週前,全聯 北新門市購物 停車 方便 又离我家很近 商品摆设非常齊全想要找的物品都很容易就能找得到,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,5 ,4 週前,,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,5 ,4 週前,,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,5 ,1 個月前,商品齊全,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,5 ,1 個月前,,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,5 ,1 個月前,,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,5 ,1 個月前,"(由 Google 提供翻譯) ķ

(原始評論)
おｋ",23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,5 ,1 個月前,,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,5 ,1 個月前,有無印歐,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,2 ,1 個月前,,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,3 ,1 個月前,,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,4 ,1 個月前,,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,5 ,1 個月前,"天氣冷 來煮湯圓唷🥄🥄
乾隆流沙湯圓😋
牛奶糖 包餡小湯圓😋",23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,5 ,1 個月前,,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,5 ,1 個月前,,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,2 ,1 個月前,老是標錯價，大家要對好明細再離開,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,3 ,1 個月前,,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,4 ,1 個月前,生鮮貨品蠻多的，蠻好逛，場地規劃不錯。,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,3 ,1 個月前,,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,3 ,1 個月前,,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,5 ,1 個月前,,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,3 ,1 個月前,,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,4 ,1 個月前,,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,4 ,1 個月前,,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,4 ,2 個月前,,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,4 ,2 個月前,環境很不錯，但位置在地下一樓，有點難找。,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,5 ,2 個月前,東西多樣，買消夜或食材時很方便，惟有時結帳會等有點久。,23143新北市新店區北新路２號段２５２號地下室
全聯福利中心Pxmart 北新,2021-01-26,5 ,2 個月前,,23143新北市新店區北新路２號段２５２號地下室
