Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 南港中研,2021-01-26,5 ,1 週前,,11465台北市內湖區民權東路六段90巷18號號1樓
全聯福利中心Pxmart 南港中研,2021-01-26,5 ,1 週前,,11465台北市內湖區民權東路六段90巷18號號1樓
全聯福利中心Pxmart 南港中研,2021-01-26,4 ,2 週前,採買方便但種類不全,11465台北市內湖區民權東路六段90巷18號號1樓
全聯福利中心Pxmart 南港中研,2021-01-26,5 ,3 週前,"(由 Google 提供翻譯) 可以一去再去的地方

(原始評論)
可以一去再去的地方",11465台北市內湖區民權東路六段90巷18號號1樓
全聯福利中心Pxmart 南港中研,2021-01-26,5 ,1 個月前,👍,11465台北市內湖區民權東路六段90巷18號號1樓
全聯福利中心Pxmart 南港中研,2021-01-26,5 ,1 個月前,收銀人手不足，常要“請支援收銀”,11465台北市內湖區民權東路六段90巷18號號1樓
全聯福利中心Pxmart 南港中研,2021-01-26,5 ,1 個月前,,11465台北市內湖區民權東路六段90巷18號號1樓
全聯福利中心Pxmart 南港中研,2021-01-26,5 ,1 個月前,,11465台北市內湖區民權東路六段90巷18號號1樓
全聯福利中心Pxmart 南港中研,2021-01-26,4 ,1 個月前,,11465台北市內湖區民權東路六段90巷18號號1樓
全聯福利中心Pxmart 南港中研,2021-01-26,4 ,1 個月前,不就是全聯嗎…………,11465台北市內湖區民權東路六段90巷18號號1樓
全聯福利中心Pxmart 南港中研,2021-01-26,4 ,1 個月前,購物方便,11465台北市內湖區民權東路六段90巷18號號1樓
全聯福利中心Pxmart 南港中研,2021-01-26,5 ,1 個月前,方便購物的好鄰居 ，自在輕鬆應有盡有 ！,11465台北市內湖區民權東路六段90巷18號號1樓
全聯福利中心Pxmart 南港中研,2021-01-26,5 ,2 個月前,,11465台北市內湖區民權東路六段90巷18號號1樓
全聯福利中心Pxmart 南港中研,2021-01-26,4 ,2 個月前,,11465台北市內湖區民權東路六段90巷18號號1樓
全聯福利中心Pxmart 南港中研,2021-01-26,4 ,2 個月前,,11465台北市內湖區民權東路六段90巷18號號1樓
全聯福利中心Pxmart 南港中研,2021-01-26,4 ,2 個月前,,11465台北市內湖區民權東路六段90巷18號號1樓
