Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 南港研究院,2021-01-26,5 ,8 小時前,讚,11571台北市南港區研究院路１段99號B1
全聯福利中心Pxmart 南港研究院,2021-01-26,4 ,2 天前,,11571台北市南港區研究院路１段99號B1
全聯福利中心Pxmart 南港研究院,2021-01-26,5 ,2 天前,"南港少了家樂福後, 附近方便的日用品購物中心",11571台北市南港區研究院路１段99號B1
全聯福利中心Pxmart 南港研究院,2021-01-26,5 ,3 天前,,11571台北市南港區研究院路１段99號B1
全聯福利中心Pxmart 南港研究院,2021-01-26,2 ,3 天前,"服務人員態度很差很像欠他錢一樣
還有服務人員在走道打情罵俏
客人經過也不會主動讓人過",11571台北市南港區研究院路１段99號B1
全聯福利中心Pxmart 南港研究院,2021-01-26,4 ,3 天前,,11571台北市南港區研究院路１段99號B1
全聯福利中心Pxmart 南港研究院,2021-01-26,4 ,4 天前,,11571台北市南港區研究院路１段99號B1
全聯福利中心Pxmart 南港研究院,2021-01-26,5 ,6 天前,,11571台北市南港區研究院路１段99號B1
全聯福利中心Pxmart 南港研究院,2021-01-26,5 ,6 天前,"工作人員態度幾乎都很和善，開在這裡是附近居民的福氣,希望未來有熟食更多選擇",11571台北市南港區研究院路１段99號B1
全聯福利中心Pxmart 南港研究院,2021-01-26,4 ,1 週前,,11571台北市南港區研究院路１段99號B1
全聯福利中心Pxmart 南港研究院,2021-01-26,3 ,1 週前,結帳及補貨速度都有待改善，手機訊號也不佳,11571台北市南港區研究院路１段99號B1
全聯福利中心Pxmart 南港研究院,2021-01-26,4 ,1 週前,,11571台北市南港區研究院路１段99號B1
全聯福利中心Pxmart 南港研究院,2021-01-26,4 ,1 週前,,11571台北市南港區研究院路１段99號B1
全聯福利中心Pxmart 南港研究院,2021-01-26,5 ,1 週前,,11571台北市南港區研究院路１段99號B1
全聯福利中心Pxmart 南港研究院,2021-01-26,5 ,2 週前,,11571台北市南港區研究院路１段99號B1
全聯福利中心Pxmart 南港研究院,2021-01-26,5 ,2 週前,很棒，買咖啡有位子可坐著喝,11571台北市南港區研究院路１段99號B1
全聯福利中心Pxmart 南港研究院,2021-01-26,5 ,2 週前,,11571台北市南港區研究院路１段99號B1
全聯福利中心Pxmart 南港研究院,2021-01-26,5 ,2 週前,,11571台北市南港區研究院路１段99號B1
