Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 台北東門,2021-01-26,5,1 天前,,10641台北市大安區金山南路二段12號
全聯福利中心Pxmart 台北東門,2021-01-26,4,5 天前,,10641台北市大安區金山南路二段12號
全聯福利中心Pxmart 台北東門,2021-01-26,5,1 週前,採購生活用品主要地方，聽說要搬家。,10641台北市大安區金山南路二段12號
全聯福利中心Pxmart 台北東門,2021-01-26,3,1 週前,樓梯很陡,10641台北市大安區金山南路二段12號
全聯福利中心Pxmart 台北東門,2021-01-26,4,1 週前,,10641台北市大安區金山南路二段12號
全聯福利中心Pxmart 台北東門,2021-01-26,5,2 週前,"(由 Google 提供翻譯) 地下室中度劃分入口很小，不容易找到！有時在高峰時段很擁擠。超市裡有各種各樣的生活必需品。食物種類繁多。在這裡購買家庭用品很方便！

(原始評論)
A moderate division in the basement. The entrance is small and not easy to find! Sometimes it is crowded during rush hours. Various life necessities …",10641台北市大安區金山南路二段12號
全聯福利中心Pxmart 台北東門,2021-01-26,4,2 週前,,10641台北市大安區金山南路二段12號
全聯福利中心Pxmart 台北東門,2021-01-26,5,2 週前,購物好店家！,10641台北市大安區金山南路二段12號
全聯福利中心Pxmart 台北東門,2021-01-26,4,2 週前,,10641台北市大安區金山南路二段12號
全聯福利中心Pxmart 台北東門,2021-01-26,5,3 週前,,10641台北市大安區金山南路二段12號
全聯福利中心Pxmart 台北東門,2021-01-26,4,1 個月前,,10641台北市大安區金山南路二段12號
全聯福利中心Pxmart 台北東門,2021-01-26,3,1 個月前,,10641台北市大安區金山南路二段12號
全聯福利中心Pxmart 台北東門,2021-01-26,4,1 個月前,,10641台北市大安區金山南路二段12號
全聯福利中心Pxmart 台北東門,2021-01-26,5,1 個月前,,10641台北市大安區金山南路二段12號
全聯福利中心Pxmart 台北東門,2021-01-26,1,1 個月前,防疫期間，容許些許客人不戴口罩購物。,10641台北市大安區金山南路二段12號
全聯福利中心Pxmart 台北東門,2021-01-26,5,1 個月前,唯一缺點，沒電梯。,10641台北市大安區金山南路二段12號
全聯福利中心Pxmart 台北東門,2021-01-26,5,1 個月前,"(由 Google 提供翻譯) 備貨充足的PX Mart，有新鮮農產品和切花。

(原始評論)
A well stocked PX Mart with fresh produce and cut flowers.",10641台北市大安區金山南路二段12號
全聯福利中心Pxmart 台北東門,2021-01-26,3,1 個月前,,10641台北市大安區金山南路二段12號
全聯福利中心Pxmart 台北東門,2021-01-26,5,1 個月前,,10641台北市大安區金山南路二段12號
全聯福利中心Pxmart 台北東門,2021-01-26,4,1 個月前,,10641台北市大安區金山南路二段12號
全聯福利中心Pxmart 台北東門,2021-01-26,2,2 個月前,這間全联可能是我走遍全省二、三拾間的全联最差的服務、结帳人员少才一人、排隊到八九人、才開另一通知、大家都骂、真的第一次碰到、是今天下午三點左右。,10641台北市大安區金山南路二段12號
全聯福利中心Pxmart 台北東門,2021-01-26,4,2 個月前,,10641台北市大安區金山南路二段12號
全聯福利中心Pxmart 台北東門,2021-01-26,5,2 個月前,,10641台北市大安區金山南路二段12號
全聯福利中心Pxmart 台北東門,2021-01-26,4,2 個月前,,10641台北市大安區金山南路二段12號
