Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 台北西藏,2021-01-26,4,16 小時前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,5,2 天前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,4,2 天前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,1,3 天前,"店員刷條碼，三個品項沒錯，便宜的沒刷到，貴的刷兩次。所以不要只看數量，要等等看手機明細再走。
告訴我條碼機敏感，敏感數量會多不會淘汰低價產品吧？",10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,4,4 天前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,5,1 週前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,5,1 週前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,5,1 週前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,5,2 週前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,1,2 週前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,4,2 週前,這家的全聯褔利中心，比附近的全聯商店來比的話，貨品比較多，而且是在一樓，出入比較方便。而且走三十步後，旁邊又有熱鬧的黃昏雙和市場，所以個人感覺，在這裡買市場上所欠缺的東西，例如日用品和吃的東西，既方便又省時喔！,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,4,2 週前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,4,2 週前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,2,3 週前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,4,3 週前,貨色齊全,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,5,4 週前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,5,1 個月前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,5,1 個月前,好逛好買的全聯!,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,5,1 個月前,"(由 Google 提供翻譯) 超級市場。

(原始評論)
Super market.",10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,4,1 個月前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,5,1 個月前,"(由 Google 提供翻譯) bagus..lengkap

(原始評論)
bagus..lengkap",10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,4,1 個月前,這間在北市全聯裡面算是大間的了，商品種類跟數量都很足夠。,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,4,1 個月前,"(由 Google 提供翻譯) 方便好逛

(原始評論)
方便好逛",10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,4,1 個月前,商品齊全！,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,4,1 個月前,店面大、貨品很多，生活用品和生鮮可以一次買足。,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,3,1 個月前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,5,1 個月前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,3,1 個月前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,1,1 個月前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,3,1 個月前,東西齊全，服務周到，但是規定朝令夕改很奇怪,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,4,2 個月前,萬華區唯一寬敞沒有地下室的全聯了，購物比較沒壓力。,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,5,2 個月前,超大間讓你買好買滿！,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,5,2 個月前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,5,2 個月前,物品超多的，連熱的便當也有賣，算是青年公園附近商品齊全的店。,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,4,2 個月前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,5,2 個月前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,4,2 個月前,不錯的生活日用品採購之處,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,4,2 個月前,物品成列，一目了然，易尋。,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,5,2 個月前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,3,2 個月前,"(由 Google 提供翻譯) 普通

(原始評論)
普通",10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,5,2 個月前,坪數大品項多，隔壁還有頂好跟黃昏市場,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,4,2 個月前,買東西很方便又不會很貴,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,4,2 個月前,廣場寬闊，貨物齊全！,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,4,2 個月前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,5,2 個月前,較超商，全家，的商品便宜。,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,1,2 個月前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,5,2 個月前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,4,2 個月前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,4,2 個月前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,5,3 個月前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,4,3 個月前,第一次去，種類繁多，排列很整齊，店裡不會有異味，只是結帳人員臉臭了點……其他都不錯,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,3,3 個月前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,4,3 個月前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,4,3 個月前,服務很好東西很多買很方便,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,4,3 個月前,賣場光線明亮生意很好，但物品跟特價商品常常都是空的，收銀台也沒有全開放，巔峰時間會看到排隊的人比賣場在逛的人還多,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,5,3 個月前,不錯，只是人很多。,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,5,3 個月前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,5,3 個月前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,4,3 個月前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,4,3 個月前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,5,3 個月前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,2,3 個月前,"(由 Google 提供翻譯) 比歡迎隔壁更忙。不知道為什麼...惠康的氛圍更好，啤酒選擇也更好。

(原始評論)
Busier than welcome next door. Don't know why... Wellcome has much better atmosphere and better beer selection.",10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,5,3 個月前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,4,3 個月前,,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,5,3 個月前,產品多樣，蔬果新鮮,10879台北市萬華區西藏路125巷9號
全聯福利中心Pxmart 台北西藏,2021-01-26,4,3 個月前,方便的好鄰居,10879台北市萬華區西藏路125巷9號
