Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 和德,2021-01-26,4 ,3 天前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,4 ,4 天前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,4 ,5 天前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,3 ,6 天前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,5 ,1 週前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,4 ,2 週前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,3 ,2 週前,該有都有但不大,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,3 ,2 週前,沒使用過這項服務,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,5 ,3 週前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,2 ,3 週前,結帳店員態度不佳,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,2 ,4 週前,地下室的空調比較悶熱，購物時感覺空気不流通😷😷😷,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,5 ,1 個月前,"(由 Google 提供翻譯) 美麗

(原始評論)
Indah",10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,3 ,1 個月前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,2 ,1 個月前,改變集點方式 不方便。,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,3 ,1 個月前,結帳櫃檯附近建議設置平台能讓消費者在結完帳後，將物品移往平台做一整理裝袋，避免一群人都擠在一起，也影響之後其他人的結帳。,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,1 ,1 個月前,年紀大的服務員態度非常不好尤其是早上8點開門的時候好像我們欠他很多,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,4 ,1 個月前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,4 ,1 個月前,還不錯,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,5 ,1 個月前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,5 ,1 個月前,輕鬆購物。服務親切。,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,1 ,1 個月前,有一位男店員引導結帳真的很不OK，叫人去下一個櫃檯結帳，結果也沒跟下個櫃檯人員說，白白又被插隊了好幾位，真的有夠差,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,5 ,1 個月前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,3 ,1 個月前,"商品配置要重新規劃
門口 極度建議多擺一張桌子 結帳完大家都擠成一團 沒辦法有效率的裝貨",10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,4 ,2 個月前,省錢好地方,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,5 ,2 個月前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,4 ,2 個月前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,5 ,2 個月前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,4 ,2 個月前,鄰近、商品多、可選擇又方便、是最佳地段。,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,4 ,2 個月前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,1 ,2 個月前,"每次都被同一個阿姨針對，感覺''非常不舒服''2309可以聽成2304，4364可以聽成7367。為什麼每一次都要這樣，很好玩嗎？不一定每次去都是被她結帳，但只要遇上他就要來這招,已經至少三次了,又一副跩樣，小心我下次不客氣。",10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,4 ,3 個月前,裡面空間寬闊很舒服，東西也很好找，不錯,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,4 ,3 個月前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,5 ,3 個月前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,5 ,3 個月前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,5 ,3 個月前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,3 ,3 個月前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,3 ,3 個月前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,5 ,3 個月前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,4 ,3 個月前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,5 ,4 個月前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,4 ,4 個月前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,4 ,4 個月前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,5 ,4 個月前,讚,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,5 ,4 個月前,服務員很稱職,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,5 ,5 個月前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,5 ,5 個月前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,5 ,5 個月前,附近停車位要找一下，注意不要亂停！,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,4 ,5 個月前,"店面狹小，區分為B1,1F有電梯可供使用，貨物不算最齊全的，但是交通位置是最方便的，前面還可以停機車，店內顧客多，食品很快就賣完了，尤其是豆漿，最好選在非假日的晚上去消費，以免向隅。",10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,5 ,5 個月前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,3 ,5 個月前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,4 ,5 個月前,很方便，謝謝妳們。,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,5 ,5 個月前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,3 ,5 個月前,結帳員工態度明顯差於附近全聯， 最好分到他店再教育,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,5 ,5 個月前,生活上的好鄰居,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,4 ,5 個月前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,3 ,5 個月前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,3 ,5 個月前,,10067台北市中正區南海路100、102號
全聯福利中心Pxmart 和德,2021-01-26,5 ,6 個月前,"(由 Google 提供翻譯) 很方便

(原始評論)
很方便",10067台北市中正區南海路100、102號
