Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 唭哩岸,2021-01-26,4 ,22 小時前,購買雞蛋，有驚喜價格與品質。,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,4 ,1 天前,,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,3 ,1 天前,,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,2 ,1 週前,轉樓梯上下昏了頭,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,4 ,1 週前,,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,4 ,2 週前,,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,5 ,2 週前,,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,5 ,3 週前,,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,5 ,1 個月前,,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,5 ,1 個月前,,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,5 ,1 個月前,,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,4 ,1 個月前,,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,4 ,1 個月前,,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,5 ,1 個月前,,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,4 ,1 個月前,,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,4 ,1 個月前,要走樓梯上下。,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,5 ,1 個月前,,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,4 ,1 個月前,,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,5 ,1 個月前,,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,5 ,1 個月前,,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,4 ,2 個月前,,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,4 ,2 個月前,,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,4 ,2 個月前,,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,4 ,2 個月前,很近~方便~要什麼馬上去就有 ，好,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,3 ,2 個月前,"人力不足？
結帳區只有一兩人負責，偶爾有三人結帳，每次都排很久
跟其他店比起來偏小、亂",11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,5 ,2 個月前,,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,5 ,2 個月前,"(由 Google 提供翻譯) 他們的服務達到了標準，但店主很少微笑。

(原始評論)
Their service is up to par, but the shopkeeper seldom smiles.",11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,5 ,2 個月前,品項多元豐富的熱點超商,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,5 ,2 個月前,,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,4 ,2 個月前,店員服務熱忱比其它全聯好。,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,5 ,3 個月前,,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,5 ,3 個月前,店面空間寬敞、動線加，服務良好，營業到晚上11點非常方便,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,3 ,3 個月前,,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,5 ,3 個月前,,11265台北市北投區東華街二段180號
全聯福利中心Pxmart 唭哩岸,2021-01-26,4 ,3 個月前,以前只看到樓梯下去，不知道裡面別有洞天，寬敞~,11265台北市北投區東華街二段180號
