Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 圓環,2021-01-26,5 ,22 小時前,,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,5 ,1 天前,我愛他們的吐司，便宜又好吃,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,3 ,2 天前,,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,5 ,3 天前,,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,3 ,1 週前,,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,5 ,1 週前,,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,4 ,2 週前,,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,4 ,2 週前,,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,5 ,2 週前,商品陳設好能快速找到想要的，沒什麼缺點可說。,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,4 ,3 週前,整齊、服務態度好，店員都很用心,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,3 ,3 週前,,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,5 ,3 週前,,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,5 ,3 週前,溫馨，地方性。,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,3 ,3 週前,面積不大，貨品不多，尚可而已。,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,5 ,3 週前,,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,4 ,3 週前,,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,5 ,4 週前,,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,3 ,4 週前,,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,5 ,4 週前,,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,5 ,4 週前,,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,4 ,1 個月前,,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,5 ,1 個月前,,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,5 ,1 個月前,全聯就是選對商品買進就是划算，但今天電子支付不給力 什麼都沒買到....,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,5 ,1 個月前,好逛，好買,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,3 ,1 個月前,去全聯消費一定要仔細看明細喔！很常沒算到折扣,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,5 ,1 個月前,,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,4 ,1 個月前,小巧精緻、生意興隆、結帳須排隊,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,5 ,1 個月前,,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,5 ,1 個月前,店員親切,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,3 ,1 個月前,,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,3 ,1 個月前,收銀台人員的服務態度不是很好。,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,3 ,2 個月前,"價錢公道，想買的東西幾乎
可全補齊，省時省💰，因台灣
已經養成不二價的好習慣。",10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,5 ,2 個月前,,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,4 ,2 個月前,走道空間小，物品通通類較少,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,4 ,2 個月前,,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,1 ,2 個月前,,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,1 ,2 個月前,,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,3 ,2 個月前,,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,3 ,2 個月前,"(由 Google 提供翻譯) 普普通通

(原始評論)
普普通通",10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,3 ,2 個月前,全聯每一家店的商品訂價會大同小異，這一家不是比較便宜的，而且空間走道較為狹窄。,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,4 ,2 個月前,東西少了點，不過至少還算方便,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,5 ,2 個月前,品項完整,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,4 ,2 個月前,,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,5 ,2 個月前,,10345台北市大同區南京西路165號號1樓
全聯福利中心Pxmart 圓環,2021-01-26,4 ,2 個月前,還可以,10345台北市大同區南京西路165號號1樓
