Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 士林士東,2021-01-26,5 ,2 天前,,11154台北市士林區士東路23號B1.1.2樓
全聯福利中心Pxmart 士林士東,2021-01-26,3 ,1 週前,停車不方便。卻是當地人採買生活用品好去處,11154台北市士林區士東路23號B1.1.2樓
全聯福利中心Pxmart 士林士東,2021-01-26,5 ,1 週前,,11154台北市士林區士東路23號B1.1.2樓
全聯福利中心Pxmart 士林士東,2021-01-26,5 ,2 週前,,11154台北市士林區士東路23號B1.1.2樓
全聯福利中心Pxmart 士林士東,2021-01-26,4 ,1 個月前,"(由 Google 提供翻譯) 一般

(原始評論)
一般",11154台北市士林區士東路23號B1.1.2樓
全聯福利中心Pxmart 士林士東,2021-01-26,4 ,1 個月前,,11154台北市士林區士東路23號B1.1.2樓
全聯福利中心Pxmart 士林士東,2021-01-26,4 ,1 個月前,沒有停車格，士東路偏窄一，停車要注意,11154台北市士林區士東路23號B1.1.2樓
全聯福利中心Pxmart 士林士東,2021-01-26,5 ,1 個月前,,11154台北市士林區士東路23號B1.1.2樓
全聯福利中心Pxmart 士林士東,2021-01-26,3 ,1 個月前,,11154台北市士林區士東路23號B1.1.2樓
全聯福利中心Pxmart 士林士東,2021-01-26,3 ,2 個月前,"(由 Google 提供翻譯) 小

(原始評論)
小",11154台北市士林區士東路23號B1.1.2樓
全聯福利中心Pxmart 士林士東,2021-01-26,4 ,2 個月前,靠近士東市場 買完東西可以順路去買菜,11154台北市士林區士東路23號B1.1.2樓
全聯福利中心Pxmart 士林士東,2021-01-26,5 ,2 個月前,,11154台北市士林區士東路23號B1.1.2樓
全聯福利中心Pxmart 士林士東,2021-01-26,3 ,2 個月前,商品很多，賣場的面積越大商品種類就越多，不錯！,11154台北市士林區士東路23號B1.1.2樓
全聯福利中心Pxmart 士林士東,2021-01-26,3 ,2 個月前,販售的鍋底品項眾多，給天冷想自己或聚會煮鍋者,11154台北市士林區士東路23號B1.1.2樓
全聯福利中心Pxmart 士林士東,2021-01-26,4 ,3 個月前,,11154台北市士林區士東路23號B1.1.2樓
