Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,23 小時前,不錯喔！中午有便當、熱食。但便當價位可以再降。百元以下會更受歡迎,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,3 ,2 天前,店小，商品比較不齊全。,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,6 天前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,6 天前,大間，高端，上檔次，可以來逛逛，挺好買的，服務人員親切度是我去過幾間裡最高的。,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,1 週前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,1 週前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,1 週前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,1 週前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,2 週前,超感謝全聯設置這個地點，麻雀雖小五臟俱全,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,2 週前,地點方便，但商品不夠多,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,3 ,2 週前,空間窄小，商品不齊全，可惜了,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,2 週前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,3 ,2 週前,接電話的人很沒禮貌，聲音聽起來像被倒債,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,2 ,3 週前,"優惠標參考的，不認真核對你就輸了。

排隊線畫參考的，認真排你也輸了。",11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,3 週前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,3 週前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,4 週前,沒有很大間，但是商品算都有了,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,4 週前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,1 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,1 個月前,平民化商場,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,1 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,1 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,1 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,1 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,1 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,1 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,1 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,1 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,1 個月前,午餐有即食便當,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,1 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,1 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,1 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,2 個月前,地方小了些，但食物補貨還算可以,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,2 個月前,"(由 Google 提供翻譯) 品相很多元

(原始評論)
品相很多元",11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,1 ,2 個月前,櫃檯晚班女結帳人員 頭髮齊肩，服務爛死了！口氣超差，不想做建議可以離職。,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,2 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,2 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,3 ,2 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,2 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,2 ,2 個月前,小而迷你，自然地所鋪貨的商品種類不多，可各別購買、零售封裝成套的飲料、水果，每至中午或晚間的熟食區可供選擇多樣商品，是它的特色之一。,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,2 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,1 ,2 個月前,奇差無比，要買什沒什，連最簡單的鮮乳、蘇打餅乾常買不到，不是沒進貨就是還沒到，什麼嘛！乾脆撤店算了，省得好多人白跑一趟。,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,3 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,3 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,3 個月前,"中午賣的熱食便當炸物是別家全聯少見的 ，感覺很像日本的lawson !
位處中信金融園區 ，周遭美食街滿多位置可坐（需避開中午用餐時間）。",11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,3 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,3 ,3 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,3 個月前,超豐富超好逛的啦,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,3 個月前,靠近捷運站，選擇樣式很多 中午有很棒的 烤雞炸雞,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,3 個月前,"(由 Google 提供翻譯) 我家的

(原始評論)
我家的",11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,3 ,3 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,3 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,3 個月前,"(由 Google 提供翻譯) 這裡的一切都完成了，可以購物了

(原始評論)
Lengkap semua ada di sini sangat ok buat belanja",11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,3 個月前,環境乾淨，價格親民，最近新推出的麵包很好吃：）,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,3 ,3 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,4 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,4 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,4 個月前,很方便南軟的上班族採購，還有很多一般全聯買不到的東西,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,4 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,4 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,3 ,4 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,3 ,4 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,4 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,1 ,4 個月前,自己和先生各自都被結帳人員態度（不是臉）臭到，大家上班工作都很辛苦🙄,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,3 ,4 個月前,中型，適合上班族、小社區……,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,4 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,3 ,5 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,5 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,3 ,5 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,5 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,3 ,5 個月前,東西雜亂了點，通道也小,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,5 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,5 個月前,蠻方便的，捷運一出來就到了。,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,1 ,5 個月前,在上班族那麼多的地方結帳還很慢,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,5 個月前,在一個消費較高的地區，設有平價超市，對在金融園區走跳的人，算是一個小確性,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,3 ,5 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,3 ,6 個月前,很乾淨，但冷氣不要那麼冷,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,6 個月前,"(由 Google 提供翻譯) 超多人

(原始評論)
超多人",11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,6 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,6 個月前,冷氣很強 讚！,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,6 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,6 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,1 ,6 個月前,手腳超慢,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,6 個月前,"(由 Google 提供翻譯) 很棒的選擇，友好的服務

(原始評論)
Great selection, friendly service",11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,3 ,6 個月前,"(由 Google 提供翻譯) 普普

(原始評論)
普普",11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,6 個月前,附近的急需品採購好地方^_^。,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,2 ,6 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,1 ,6 個月前,"領取預購商品，
櫃檯態度極差。
比起其他家全聯
這家態度都很傲慢。",11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,6 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,6 個月前,有提供需穿外套的涼爽座位😆,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,6 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,7 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,2 ,7 個月前,店比較小，冷氣太冷，小心著涼,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,7 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,7 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,3 ,7 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,7 個月前,中信園區唯一超市,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,7 個月前,"(由 Google 提供翻譯) 我上班的超市

(原始評論)
我上班的超市",11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,7 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,3 ,7 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,8 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,2 ,8 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,2 ,8 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,8 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,10 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,10 個月前,🔉,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,10 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,3 ,11 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,11 個月前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,11 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,11 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,4 ,11 個月前,,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,5 ,11 個月前,請閒置人力多支持收銀,11568台北市南港區經貿二路188號號3樓
全聯福利中心Pxmart 士林後港,2021-01-26,2 ,11 個月前,,11568台北市南港區經貿二路188號號3樓
