Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 士林德行東,2021-01-26,5 ,5 天前,,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,4 ,1 週前,,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,4 ,1 週前,,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,4 ,1 週前,"離家近，很方便,",11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,5 ,1 週前,店員親切,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,5 ,2 週前,空間很大，商品多樣，還有國外零食區。,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,5 ,2 週前,,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,3 ,2 週前,,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,5 ,3 週前,"算是很大間 還有賣便當
這是便當價位算高",11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,5 ,3 週前,,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,4 ,3 週前,,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,5 ,4 週前,,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,4 ,4 週前,"東西齊全好逛
蛋糕偏甜，機車位難停",11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,5 ,4 週前,,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,5 ,4 週前,結帳員賴博文很細心且主动注意顧客需求,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,5 ,1 個月前,,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,4 ,1 個月前,,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,5 ,1 個月前,乾淨，服務好,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,5 ,1 個月前,,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,5 ,1 個月前,,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,4 ,1 個月前,商品齊全、一次購足的感覺,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,4 ,1 個月前,,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,5 ,1 個月前,,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,4 ,1 個月前,,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,4 ,1 個月前,,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,3 ,1 個月前,,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,5 ,2 個月前,,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,2 ,2 個月前,機車太多位子不好停,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,5 ,2 個月前,,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,5 ,2 個月前,,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,3 ,2 個月前,物品齊全,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,4 ,2 個月前,,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,5 ,2 個月前,東西應有盡有，乾淨,11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,4 ,2 個月前,"裡面賣的東西可多了
從吃的到喝的
從餐桌到臥房
應有盡有
不過不知道店員把條碼機摔壞要不要賠？
看了覺得好痛",11150台北市士林區德行東路331巷35號號1樓
全聯福利中心Pxmart 士林德行東,2021-01-26,5 ,2 個月前,很不錯，我可以買到石榴，先前也看過木鱉果，不知道怎麼吃，所以沒有買。,11150台北市士林區德行東路331巷35號號1樓
