Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 士林忠誠,2021-01-26,1 ,7 小時前,有儲值還找零，菜。,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,5 ,2 天前,,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,4 ,3 天前,,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,4 ,1 週前,服務好,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,5 ,1 週前,,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,4 ,1 週前,"我原本打算到大葉高島屋那兒去找點，做點在地嚮導的事，但是提前一站下公車，在走路前往目的地的時候看到這一家超市。

我和全聯有緣分，住家附近就有一家，大部分家中所用的，解決的方式是，日用品，上網採購，但是零星的，就往全聯去買，而日常的蔬菜，魚肉，目前大多還是在傳統和市場買，但推測日後在全聯採購的機會會增多。使用超商的機會仍有，只是零星的。 …",11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,5 ,2 週前,服務親切,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,3 ,2 週前,,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,4 ,2 週前,,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,4 ,1 個月前,,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,3 ,1 個月前,要買3D口罩可是沒貨了,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,3 ,1 個月前,態度沒有不好~態度涼涼的,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,2 ,1 個月前,"小，擺在樓下不方便。
又沒停車位。
哭。若我們被照的話。",11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,4 ,1 個月前,,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,5 ,1 個月前,,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,4 ,1 個月前,,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,4 ,2 個月前,空間非常大,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,5 ,2 個月前,,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,3 ,2 個月前,,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,4 ,2 個月前,購物方便,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,4 ,2 個月前,"服務態度都很好，
但是覺得店家的動線規劃可以改善一下
入口已經很狹窄了，
然後還把收銀櫃臺放在門口
人多的時候很難進出。",11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,4 ,2 個月前,位置剛好在忠誠路上交通便利可惜沒汽車停車位,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,4 ,2 個月前,,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,5 ,3 個月前,好像迷宮,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,5 ,3 個月前,,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,4 ,3 個月前,走道擠，其他還好。,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,5 ,3 個月前,,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,4 ,3 個月前,,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,3 ,4 個月前,,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,3 ,4 個月前,極小一家超市空間小待客客氣,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,4 ,4 個月前,,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,5 ,4 個月前,陳姓男員工騎勁戰4代太帥了 問他什麼都會回答 只可惜被調店了,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,5 ,4 個月前,開到晚上11點很方便,11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,5 ,4 個月前,"(由 Google 提供翻譯) 超爽

(原始評論)
超爽",11148台北市士林區忠誠路１段177.179號號 1 樓
全聯福利中心Pxmart 士林忠誠,2021-01-26,4 ,4 個月前,,11148台北市士林區忠誠路１段177.179號號 1 樓
