Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 士林蘭雅,2021-01-26,1 ,2 天前,"不會引導插隊客人回到排隊結帳的隊伍中
讓待結帳的客人自行制止後 結帳時態度稍顯不悅",11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,4 ,2 天前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,5 ,1 週前,1/14晚班的櫃臺店員真的服務好好,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,5 ,2 週前,生活用品應有盡有,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,5 ,2 週前,"(由 Google 提供翻譯) 很方便的商店

(原始評論)
Pretty convenient store",11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,5 ,2 週前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,4 ,3 週前,市場商圈的超商，非常便利，應有盡有。,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,5 ,3 週前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,5 ,1 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,4 ,1 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,4 ,1 個月前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,4 ,1 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,2 ,1 個月前,"(由 Google 提供翻譯) 太小。但方便

(原始評論)
太小。但方便",11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,5 ,1 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,4 ,1 個月前,服務態度良好,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,5 ,1 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,5 ,1 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,4 ,2 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,1 ,2 個月前,連續2次買鮮奶收銀的價格都跟貼標價不符（較高），請收銀員跟公司反應，也悶不做聲。大家結帳ㄧ定要小心,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,3 ,2 個月前,在蘭雅市場中的小超市，生鮮食品和生活日用品項目及數量較精減，進出囗分開且較狹窄。,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,3 ,2 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,5 ,2 個月前,"(由 Google 提供翻譯) 非常適合雜貨店購物

(原始評論)
very good for groceries shopping 🛍 🙂",11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,3 ,2 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,5 ,3 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,4 ,3 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,1 ,3 個月前,"買了一盒蘋果禮盒送禮，結果送出去蘋果底部竟然是爛掉的!!!
商家刻意將爛掉的部分面向下蓋住，欺騙消費者，這種行為實在不可取!!!
若大家有想要買禮盒，建議不要在這買，以免花較多錢買到爛掉的水果。",11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,3 ,4 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,5 ,4 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,5 ,4 個月前,這裡有位陳姓員工騎勁戰4代太認真了 服務到位負責到底 從不偷懶 有問題都可以找他 讚,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,5 ,4 個月前,"到全聯就好了
真的不用去好市多
又遠又貴",11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,5 ,5 個月前,傳統市場邊很方便，買些醬醋茶~,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,4 ,5 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,4 ,5 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,1 ,5 個月前,訂購到店取貨，系統發訊息說已到貨，結果去領取時等了半天才說沒有到貨，但有另一位小姐比我晚一天訂購的卻已經到貨，經理也不願出來處理只派了工讀生來留資料，說貨到了會再另外通知……,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,5 ,5 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,4 ,5 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,5 ,5 個月前,只有這間全聯蘭雅店的生鮮魚類和蝦子，會在凸出來的鰭上刺上貼膠帶防止客人被割到或搓到受傷，真的非常貼心，或許沒有什麼人注意到，但這種員工默默體貼消費者的行為很值得嘉獎。,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,4 ,6 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,3 ,6 個月前,說好不好，說壞不壞,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,5 ,6 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,4 ,6 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,2 ,6 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,4 ,6 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,5 ,6 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,4 ,6 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,3 ,6 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,3 ,6 個月前,門口經常非常多攤販擋住路,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,3 ,6 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,4 ,7 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,5 ,7 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,3 ,7 個月前,早上八點以前早班人員從七點十五分開始，就陸續進駐！可是很準時的，生鮮飲品一樓地下室蠻大的，提供家庭日用品項，似乎應有盡有！促銷活動經常舉行，各種報紙全面訂價八折。值得你或妳天天都來，停車路邊就可頗方便的,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,3 ,7 個月前,逛市場常常進去 遇到一個老阿公排隊發脾氣，員工叫他小聲點，哈。,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,4 ,7 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,4 ,7 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,3 ,7 個月前,一切服務還不錯，食材擺設也OK,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,4 ,7 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,4 ,8 個月前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,3 ,8 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,5 ,8 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,1 ,9 個月前,這家的熱拿鐵很難喝。,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,5 ,10 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,3 ,10 個月前,"這裡是台灣真的沒有必要這樣搶買物資
尤其是衛生紙
搞不懂",11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,4 ,10 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,5 ,10 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,3 ,10 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,3 ,10 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,5 ,10 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,4 ,10 個月前,"結帳速度快
服務人員親切
賣場較小",11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,3 ,10 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,5 ,10 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,4 ,10 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,5 ,10 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,4 ,10 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,5 ,11 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,3 ,11 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,4 ,11 個月前,,11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,5 ,11 個月前,"(由 Google 提供翻譯) 走

(原始評論)
Go",11148台北市士林區德行東路109巷104號1樓
全聯福利中心Pxmart 士林蘭雅,2021-01-26,1 ,11 個月前,"(由 Google 提供翻譯) 價公道、貨齊全、可停車。

(原始評論)
价公道、货齐全、可停车。",11148台北市士林區德行東路109巷104號1樓
