Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 大安,2021-01-26,4,2 天前,,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,5,3 天前,,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,3,4 天前,地方很小 很擁擠 感覺有壓迫,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,4,4 天前,,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,1,6 天前,"服務不好，可能太忙不開心
問他東西在哪裡愛理不理，
含糊其辭的回答讓我們以為桶裝水沒了
然後隔天再跑一趟，感覺很差勁",10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,1,6 天前,商品售價跟百貨公司相近（某些甚至更貴），結帳櫃檯人員態度傲慢，長此以往，由盛轉衰可以預期。,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,5,6 天前,,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,5,6 天前,,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,5,1 週前,,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,4,1 週前,,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,4,1 週前,"不大，很乾淨，服務好
Not big, but clean.",10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,4,1 週前,,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,3,1 週前,"(由 Google 提供翻譯) 這是一家小型PX集市，沒有太多選擇。步行不到5分鐘即可找到兩個更大的選擇，而且更好的選擇。就成本而言，價格是相同的，但是新鮮農產品市場上的東西通常更便宜。

城市中最慢的自動扶梯，但就在MRT站的正下方，這使它變得既方便又快捷，但是如果有時間的話，附近還有更好的選擇。

(原始評論)
It’s a small PX mart with not a whole lot of selection. There are two bigger ones …",10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,2,2 週前,地下室訊號差，PXmart的App不能即時開啟,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,4,2 週前,,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,5,2 週前,,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,5,2 週前,,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,5,2 週前,,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,4,2 週前,給我感覺非常不錯服務人員態度很親切,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,5,3 週前,,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,5,3 週前,,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,4,3 週前,,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,4,3 週前,,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,3,3 週前,地點方便的門市,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,5,3 週前,讚,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,4,3 週前,,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,4,3 週前,賣場有點擁擠,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,2,1 個月前,物品分類零亂擁擠，完全沒有購物慾望，匆促離開,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,4,1 個月前,,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,5,1 個月前,,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,4,1 個月前,店內有點擁擠 有電扶梯滿方便的,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,5,1 個月前,在捷運站下面，很方便,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,5,1 個月前,,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,3,1 個月前,空間感覺擁擠不順。,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,5,1 個月前,,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,4,1 個月前,因為全聯,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,5,1 個月前,日用貨品豐富，價格實惠,10667台北市大安區復興南路二段237號
全聯福利中心Pxmart 大安,2021-01-26,5,1 個月前,,10667台北市大安區復興南路二段237號
