Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 大安仁愛,2021-01-26,4 ,2 天前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,4 ,4 天前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,4 ,1 週前,"(由 Google 提供翻譯) 較小的當地超市。最適合簡單的必需品。不是一個很大的選擇。

(原始評論)
Smaller local supermarket. Best for simple necessities. Not a huge selection.",11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,4 ,1 週前,溫暖，方便的鄰居。,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,4 ,1 週前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,5 ,1 週前,買買買,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,4 ,1 週前,要買什麽有什麽，好賣埸,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,3 ,2 週前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,3 ,2 週前,販賣種類繁多可惜場所不大,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,4 ,2 週前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,5 ,2 週前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,2 ,2 週前,空間太小,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,4 ,3 週前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,5 ,3 週前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,4 ,3 週前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,5 ,4 週前,里肌肉炸的不會老....不錯吃,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,4 ,4 週前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,3 ,4 週前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,3 ,4 週前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,5 ,1 個月前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,3 ,1 個月前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,5 ,1 個月前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,3 ,1 個月前,擁擠。無停車場。,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,4 ,1 個月前,小而美，服務特別親切，始終如一，結帳有耐心（大店不見得）員工把店當自家，打烊時間，還會麵包促銷，全聯老闆來走一趟，會開心！,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,4 ,1 個月前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,4 ,1 個月前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,3 ,1 個月前,購物,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,3 ,1 個月前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,4 ,1 個月前,唯一缺點是空間有點小,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,4 ,1 個月前,品項多 好買,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,5 ,1 個月前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,3 ,1 個月前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,1 ,1 個月前,結帳影響出入，實在太擁擠,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,4 ,1 個月前,"(由 Google 提供翻譯) 人很多

(原始評論)
人很多",11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,4 ,1 個月前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,5 ,1 個月前,地方太小了，這是我看過最小全聯，東西樣式很少，好像美聯社，........11月後感謝全聯重視這個建議，重新在玉成街開一家更大全聯，12/26見。,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,4 ,1 個月前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,4 ,2 個月前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,3 ,2 個月前,店內超擠動線又差，結帳人一多就擋住店內入口與上二樓的樓梯，不過礙於地點方便還是很常來，但很多東西沒進貨常常買不到DM商品。,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,4 ,2 個月前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,5 ,2 個月前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,4 ,2 個月前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,4 ,2 個月前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,3 ,2 個月前,有些店員的態度需要再加強,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,5 ,2 個月前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,1 ,2 個月前,"動線規劃差
品項選擇少
店內空間小",11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,5 ,2 個月前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,3 ,2 個月前,地方不錯,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,2 ,2 個月前,動線很差,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,4 ,2 個月前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,2 ,2 個月前,很擁擠，動線很差,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,3 ,2 個月前,,11567台北市南港區中坡南路7號1.2樓
全聯福利中心Pxmart 大安仁愛,2021-01-26,3 ,2 個月前,動線差東西少,11567台北市南港區中坡南路7號1.2樓
