Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 大安北師,2021-01-26,5,4 小時前,,10670台北市大安區和平東路二段311巷29號
全聯福利中心Pxmart 大安北師,2021-01-26,4,22 小時前,全聯有價格優勢，提供平價商品,10670台北市大安區和平東路二段311巷29號
全聯福利中心Pxmart 大安北師,2021-01-26,4,5 天前,購物分兩層樓，要搭乘電梯才能上樓繼續購物，且電梯不大。,10670台北市大安區和平東路二段311巷29號
全聯福利中心Pxmart 大安北師,2021-01-26,5,1 週前,,10670台北市大安區和平東路二段311巷29號
全聯福利中心Pxmart 大安北師,2021-01-26,3,1 週前,東西狠齊全,10670台北市大安區和平東路二段311巷29號
全聯福利中心Pxmart 大安北師,2021-01-26,3,2 週前,,10670台北市大安區和平東路二段311巷29號
全聯福利中心Pxmart 大安北師,2021-01-26,3,2 週前,盡可能的陳列更多商品，反而讓空間變得擁擠，東西尋找不方便！,10670台北市大安區和平東路二段311巷29號
全聯福利中心Pxmart 大安北師,2021-01-26,1,2 週前,爛，用不當程序取得經營點,10670台北市大安區和平東路二段311巷29號
全聯福利中心Pxmart 大安北師,2021-01-26,4,2 週前,,10670台北市大安區和平東路二段311巷29號
全聯福利中心Pxmart 大安北師,2021-01-26,4,3 週前,,10670台北市大安區和平東路二段311巷29號
全聯福利中心Pxmart 大安北師,2021-01-26,3,3 週前,居然找不到廁所，扣一顆星,10670台北市大安區和平東路二段311巷29號
全聯福利中心Pxmart 大安北師,2021-01-26,4,3 週前,,10670台北市大安區和平東路二段311巷29號
全聯福利中心Pxmart 大安北師,2021-01-26,5,3 週前,,10670台北市大安區和平東路二段311巷29號
全聯福利中心Pxmart 大安北師,2021-01-26,4,4 週前,,10670台北市大安區和平東路二段311巷29號
全聯福利中心Pxmart 大安北師,2021-01-26,5,1 個月前,好買 好逛 好方便,10670台北市大安區和平東路二段311巷29號
全聯福利中心Pxmart 大安北師,2021-01-26,5,1 個月前,不錯哦！,10670台北市大安區和平東路二段311巷29號
全聯福利中心Pxmart 大安北師,2021-01-26,5,1 個月前,,10670台北市大安區和平東路二段311巷29號
全聯福利中心Pxmart 大安北師,2021-01-26,3,1 個月前,,10670台北市大安區和平東路二段311巷29號
全聯福利中心Pxmart 大安北師,2021-01-26,4,1 個月前,方便，明亮，感覺舒適清爽,10670台北市大安區和平東路二段311巷29號
全聯福利中心Pxmart 大安北師,2021-01-26,5,1 個月前,還不錯該有的東西都有，有生鮮還有日用品，工作人員也很快速不會等太久，蠻好的一間。,10670台北市大安區和平東路二段311巷29號
