Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 大安居安,2021-01-26,5,5 天前,,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,4,6 天前,,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,4,1 週前,,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,5,1 週前,寬敞明亮的購物環境！,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,3,1 週前,,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,3,2 週前,,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,4,2 週前,,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,4,2 週前,,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,4,3 週前,,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,5,3 週前,服務員態度良好，很熱心,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,4,3 週前,,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,4,4 週前,,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,1,1 個月前,2021開始不能報電話，那就準備減少去的次數,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,4,1 個月前,,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,4,1 個月前,非常大間、但乾貨區架上常常空空如也。逛到美觀的生鮮區，有點落差。員工素質不錯、有問必答。,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,4,1 個月前,"在這邊買了店內最後一塊的「一塊乳酪蛋糕」（名稱若記錯請見諒）69元。

起初是看到youtuber業配，對外型感到好奇，因此買來吃看看。結果一吃，真的覺得還不錯！KIRI乳酪香而不膩，下面還有一層餅乾脆脆的很好吃。造型也是可愛極了！

若下次有聯名活動，會再購入的品項！

另外，這家店員雖然結帳速度不快，但我詢問pxpay的問題，很有耐心回答，覺得服務不錯！有需求會再來。","1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,5,1 個月前,,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,5,1 個月前,,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,5,1 個月前,這算是全聯比較大的店，但是這間並沒有規劃座位給可客戶飲食,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,4,1 個月前,最常購買食材的地方之一,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,4,1 個月前,請支援收銀,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,5,1 個月前,,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,5,1 個月前,,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,5,1 個月前,,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,4,2 個月前,,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,2,2 個月前,商品不齊全,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,1,2 個月前,刁難？？！！！,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,3,2 個月前,"環境是不錯，只是結帳速度很慢，下班來購物經常排超久的！若不想等待只能去隔壁Jasons,為什麼全聯不能學學家樂福設自助結帳機呢？","1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,5,2 個月前,,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,5,2 個月前,方便的好臨居,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,3,2 個月前,很大間的全聯 買東西很舒服,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,3,2 個月前,購需要的，僅此。,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,5,2 個月前,,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,4,2 個月前,,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,5,3 個月前,特地來買特上紅茶的,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,4,3 個月前,,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,4,3 個月前,,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,2,3 個月前,價格便宜很多，但品項少，員工打混摸魚動作超級慢,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,5,3 個月前,"很大間的全聯，東西比較齊全。
以公司附近的全聯來說，我喜歡來這家👍","1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,5,3 個月前,,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,5,3 個月前,機車停放方便，營業時間對晚上10點才下班的人真是太好了!!!,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,3,3 個月前,在市場旁,"1樓, No. 88號安和路二段大安區台北市10680"
全聯福利中心Pxmart 大安居安,2021-01-26,4,3 個月前,,"1樓, No. 88號安和路二段大安區台北市10680"
