Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 大安延吉,2021-01-26,5,1 天前,全新版全聯 有Muji,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,4,6 天前,,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,4,6 天前,店員很有耐心很辛苦，一直跟每個想報電話集點的客人解釋今年不能報電話集點了，公司之前也一直有宣導，但還是很多聽不進去要求經理出面處理的客人。,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,5,1 週前,,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,5,1 週前,,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,5,1 週前,,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,4,2 週前,,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,4,2 週前,熟悉的全聯 只是附近的停車位非常難找,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,5,3 週前,東西很多，很多熟食可以買,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,1,3 週前,排隊結帳的路線混亂，門口花店佔住騎樓行走不方便，廁所的惡臭也會飄到一樓，剪髮服務也很不ok…,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,3,3 週前,,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,3,3 週前,平價丶生鮮食品也多,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,5,3 週前,明亮寬敞,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,5,3 週前,"最好逛的全聯
地方很大東西更齊全
價格也壓很低了",10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,4,4 週前,,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,3,4 週前,,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,5,4 週前,,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,5,4 週前,全聯福利中心物美價廉值的去购買不過門口的100元理發店千萬別去去理發跟找氣受差不多.态度不友善人員心理素质太差,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,5,1 個月前,,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,5,1 個月前,,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,3,1 個月前,"空間安排的合理，樣式齊全。幾個小缺點：

1. 下午4～7點常常沒推車、沒籃子，結帳的忙到翻掉，倉管居然能派3個人在調整肉品，是不是人力過剩啦？

2. 客人排隊結帳從不在乎社交距離，也常常發生看到有空間就插隊，毫不在乎那些排在線後面的人，防疫期間應加強宣導才是！",10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,5,1 個月前,,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,5,1 個月前,,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,4,1 個月前,,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,5,1 個月前,,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,4,1 個月前,空間很大，上下樓都有電梯，還有各種熟食，很幸福的一家店,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,5,1 個月前,,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,4,1 個月前,,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,5,1 個月前,,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,5,1 個月前,,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,5,1 個月前,,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,4,1 個月前,很大間的全聯，明亮乾淨，有用餐區很方便，門口有約50、60個機車停車格很方便機車族採買，裡面商品種類眾多，水果新鮮，商品陳列整齊，走道很寬逛起來很舒服，裡面還有手扶梯可以搭乘，有爭鮮壽司吧，先場處理生魚片及手卷，獨立封閉空間衛生乾淨，酒類商品選擇超多，可以很開心喝酒，休息區有提款機，還有非常方便的零錢存款機，適合不知不覺手上就累積非常多零錢的人直接存入帳戶裡。門口旁邊有咖啡廳，也是不錯方便，吃個下午茶再來採買回去後回家準備晚餐。,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,5,1 個月前,"賣場前面設有許多機車停車格
生鮮蔬果生活用品齊全
賣場規劃動線良好
裡頭還有與爭鮮合作的現做壽司區
共二層樓有手扶梯相當舒服方便
午休逛超市的好去處",10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,5,1 個月前,,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,1,1 個月前,員工教育訓練不足，素質不齊。結帳櫃檯小姐聽到我要換鈔，表示收銀機內百元鈔僅剩兩張，不足換錢。我請女兒到旁邊拿了一個36元的芋頭酥後，沈小姐結帳時，收了一千元，打開收銀機，找錢500*1+100+4+64=964元給我。我可以接受直接回覆無換鈔服務，但無法接受全聯店員說謊拒絕服務。,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,5,1 個月前,,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,3,1 個月前,,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,5,1 個月前,,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,2,1 個月前,二樓廁所不方便輪椅使用者進出，往廁所的安全門只要一開始警鈴便會響起，且無法從外面再次進入，都需麻煩工作人員在安全門旁守候。希望高層能夠多加考慮我們這些行動不便的使用者，給個溫暖，謝謝。,10696台北市大安區市民大道四段190號
全聯福利中心Pxmart 大安延吉,2021-01-26,4,1 個月前,,10696台北市大安區市民大道四段190號
