Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 大安成功,2021-01-26,5,5 天前,,10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,5,1 週前,,10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,3,2 週前,,10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,4,2 週前,,10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,4,2 週前,雙層樓，貨色齊全，有 輪椅步道。生鮮魚肉不錯,10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,4,1 個月前,"在這邊買到8折的KIRI聯名泡芙。（當天過期的即期品）

外皮吃起來跟想像的不同，是軟的。但內餡的KIRI奶油很香很好吃。

離開的時候看到架上還有好多盒泡芙和乳酪蛋糕，都是當天過期的即期品，希望能順利賣出。

店員服務態度不錯，詢問pxpay的時候很有耐心回答。",10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,4,1 個月前,,10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,4,1 個月前,,10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,5,1 個月前,,10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,4,1 個月前,品項比其他分店多,10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,5,1 個月前,,10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,3,1 個月前,,10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,4,2 個月前,"(由 Google 提供翻譯) 很高興在這裡購物，毗鄰傳統市場

(原始評論)
很高兴在这里购物，毗邻传统市场",10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,2,2 個月前,普通購物,10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,4,2 個月前,,10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,4,2 個月前,,10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,5,2 個月前,店雖小，貨仍齊，開到10點。,10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,5,2 個月前,這邊的冷藏庫窗明肌淨 很好逛！,10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,4,2 個月前,服務不錯,10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,5,3 個月前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,3,3 個月前,,10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,5,3 個月前,,10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,4,3 個月前,,10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,4,3 個月前,,10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,4,3 個月前,,10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,4,4 個月前,採購日常用品的好鄰居,10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,2,4 個月前,,10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,3,4 個月前,,10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,4,4 個月前,,10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,4,4 個月前,,10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,3,4 個月前,"這家店算中小型的店家，店內有二樓，一樓大部份是冷藏與冷凍的貨品，包括蔬菜、水果、肉類、魚類還有啤酒、冰品與冷凍食品,二樓就是一般乾貨、泡麵、酒類和清潔用品等等,由於空間有限結帳動線不良,常會發生爭執",10669台北市大安區和平東路三段1巷51號號1樓
全聯福利中心Pxmart 大安成功,2021-01-26,5,4 個月前,服務很好,10669台北市大安區和平東路三段1巷51號號1樓
