Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 大安敦南,2021-01-26,4,1 週前,,10688台北市大安區忠孝東路四段126號B1
全聯福利中心Pxmart 大安敦南,2021-01-26,4,1 週前,,10688台北市大安區忠孝東路四段126號B1
全聯福利中心Pxmart 大安敦南,2021-01-26,4,1 週前,方便，新鮮，有機，多樣化，平價,10688台北市大安區忠孝東路四段126號B1
全聯福利中心Pxmart 大安敦南,2021-01-26,4,1 週前,,10688台北市大安區忠孝東路四段126號B1
全聯福利中心Pxmart 大安敦南,2021-01-26,1,1 週前,購物環境真的很棒 去過那麼多家全聯消費 就是這家店最整潔乾淨 逛起來最舒服 絲毫沒有任何的壓迫感 但可惜是最後結帳時 遇到一位口氣不是很好的服務人員 或許是假日又加上人潮多的關係 結帳時態度真的不是很好 將物品放置購物籃時非常用力 這樣的行為真的不可取 畢竟服務業應該要有服務的精神 對於這樣的態度非常令人生氣 反正也是路過購物 但以後絕對不會再踏進此店消費,10688台北市大安區忠孝東路四段126號B1
全聯福利中心Pxmart 大安敦南,2021-01-26,5,2 週前,地點處於繁榮東區，離捷運站近，比其他全聯空間較寬敞。,10688台北市大安區忠孝東路四段126號B1
全聯福利中心Pxmart 大安敦南,2021-01-26,3,2 週前,,10688台北市大安區忠孝東路四段126號B1
全聯福利中心Pxmart 大安敦南,2021-01-26,4,2 週前,建議結帳人員可以親切客氣一點、沒有電梯需要走樓梯。另外每次早上都會看到穿著背心的實習生吧？都在商品前摸來摸去的也沒在幹嘛，建議可以請他們把缺東西的貨架補齊。,10688台北市大安區忠孝東路四段126號B1
全聯福利中心Pxmart 大安敦南,2021-01-26,4,2 週前,,10688台北市大安區忠孝東路四段126號B1
全聯福利中心Pxmart 大安敦南,2021-01-26,4,2 週前,,10688台北市大安區忠孝東路四段126號B1
全聯福利中心Pxmart 大安敦南,2021-01-26,3,2 週前,"結帳要等一生一世，
但其最大問題還是出現在員工姿態上。
很多客戶留言都提及評價過了，
也許生意太好，沒時間理人。",10688台北市大安區忠孝東路四段126號B1
全聯福利中心Pxmart 大安敦南,2021-01-26,3,2 週前,店員結帳時不會主動給貼紙 必須要客人開口要 才會給,10688台北市大安區忠孝東路四段126號B1
全聯福利中心Pxmart 大安敦南,2021-01-26,5,2 週前,,10688台北市大安區忠孝東路四段126號B1
全聯福利中心Pxmart 大安敦南,2021-01-26,4,2 週前,裝修後門面換然一新、空間擴大、購物更舒適！,10688台北市大安區忠孝東路四段126號B1
全聯福利中心Pxmart 大安敦南,2021-01-26,3,2 週前,東西比其他全聯少，但是順路採購生活所需還是足夠。有存在的價值。,10688台北市大安區忠孝東路四段126號B1
全聯福利中心Pxmart 大安敦南,2021-01-26,5,3 週前,,10688台北市大安區忠孝東路四段126號B1
