Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 大安樂利,2021-01-26,4,1 天前,,10679台北市大安區樂利路89號號1樓
全聯福利中心Pxmart 大安樂利,2021-01-26,4,1 天前,走道狹小擁擠，不過商品品項算多，店員楊小姐服務好。,10679台北市大安區樂利路89號號1樓
全聯福利中心Pxmart 大安樂利,2021-01-26,4,5 天前,,10679台北市大安區樂利路89號號1樓
全聯福利中心Pxmart 大安樂利,2021-01-26,3,1 週前,店小 店員親切 咖啡很淡不推,10679台北市大安區樂利路89號號1樓
全聯福利中心Pxmart 大安樂利,2021-01-26,5,1 週前,算是小間的全聯！咖啡、冷飲、麵包、生鮮、乾貨大抵也都有，可能沒有大間的多吧！對於厝邊鄰居也是一間不錯的補給站。,10679台北市大安區樂利路89號號1樓
全聯福利中心Pxmart 大安樂利,2021-01-26,4,1 週前,位於六張黎捷運站附近，方便上班族及居民採買生鮮食品的超市。由於店面不大，貨架很多，商品排得很滿，因此走道很狹窄，比較適合快速採買的人。,10679台北市大安區樂利路89號號1樓
全聯福利中心Pxmart 大安樂利,2021-01-26,1,3 週前,非常的爛爛到根本不應該存在,10679台北市大安區樂利路89號號1樓
全聯福利中心Pxmart 大安樂利,2021-01-26,1,3 週前,應該是全台北甚至是全台灣最小間的全聯，走道空間太過擁擠，商品不齊全。,10679台北市大安區樂利路89號號1樓
全聯福利中心Pxmart 大安樂利,2021-01-26,3,1 個月前,連鎖超市,10679台北市大安區樂利路89號號1樓
全聯福利中心Pxmart 大安樂利,2021-01-26,3,1 個月前,,10679台北市大安區樂利路89號號1樓
全聯福利中心Pxmart 大安樂利,2021-01-26,3,1 個月前,走道很擁擠,10679台北市大安區樂利路89號號1樓
全聯福利中心Pxmart 大安樂利,2021-01-26,3,1 個月前,服務態度雖好 可是商品樣式較少,10679台北市大安區樂利路89號號1樓
全聯福利中心Pxmart 大安樂利,2021-01-26,3,1 個月前,,10679台北市大安區樂利路89號號1樓
全聯福利中心Pxmart 大安樂利,2021-01-26,5,1 個月前,"(由 Google 提供翻譯) 很方便

(原始評論)
很方便",10679台北市大安區樂利路89號號1樓
全聯福利中心Pxmart 大安樂利,2021-01-26,5,1 個月前,此間空間不大，但五臟俱全,10679台北市大安區樂利路89號號1樓
